crosswalk_id,feature_id,traceability_id,handoff_id,external_requirement_id,external_research_id,stage5c_requirement_id,validation_rule_id,backlog_id,phase_class,topic,apollo_manual_id,apollo_pdf_page,external_source_document_id,external_source_page,evidence_image_path,stage5a_class,external_result_status,acceptance_status,ready_status,design_freeze_status,historical_or_target,source_edition,conflict_status,return_reason,open_reason,jis_gap_reason,unknown_reason,grok_review_status,notes
XWL-HOFF-H5A-0001,F4-P1-007,T5A-0007|T5A-0008,H5A-0001,REQ-5C-0001,R5B-PKG003-0001,REQ-5C-0001,UNMATCHED_VALIDATION_RULE,,Phase1_required,unit_system:単位系選択,MAN-021,27,DOC-RBS-I,386,stage5b/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,LOCATED,READY_ACCEPTED,READY,READY_SUBSET_OK,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0003,F4-P1-008,T5A-0009|T5A-0010,H5A-0003,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0003,Phase1_required,unit_system:単位系自動変換なし,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0004,F4-P1-008,T5A-0009|T5A-0010,H5A-0004,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,unit_system:単位系自動変換なし,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0005,F4-P1-009,T5A-0011|T5A-0012,H5A-0005,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0005,Phase1_required,unit_system:ハンチ単位伝播,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0006,F4-P1-009,T5A-0011|T5A-0012,H5A-0006,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_required,unit_system:ハンチ単位伝播,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0007,F4-P1-010,T5A-0013|T5A-0014,H5A-0007,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0007,Phase1_optional,unit_system:単体プログラム単位設定,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0008,F4-P1-010,T5A-0013|T5A-0014,H5A-0008,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_optional,unit_system:単体プログラム単位設定,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0009,F4-P1-011,T5A-0015|T5A-0016,H5A-0009,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0009,Phase1_optional,unit_system:デフォルト単位ルト単位値,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
XWL-HOFF-H5A-0010,F4-P1-011,T5A-0015|T5A-0016,H5A-0010,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,,Phase1_optional,unit_system:デフォルト単位ルト単位値,MAN-021,27,,,,MANUAL_DEFINED|STANDARD_TRACEABILITY_REQUIRED,,UNMATCHED_APOLLO,,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text; handoff without package primary req (expected many-to-subset)
XWL-HOFF-H5A-0011,F4-P1-012,T5A-0017|T5A-0018,H5A-0011,,UNMATCHED_RESEARCH,,UNMATCHED_VALIDATION_RULE,BL-APOLLO-H5A-0011,Phase1_required,bridge_basic_conditions:適用規模_主桁本数,MAN-021,22,,,,PROJECT_DECISION|SOFTWARE_SPECIFIC,,APOLLO_RETURN_ACCEPTED,,NOT_EXTERNAL_BLOCK,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,,NONE,RETURN_TO_APOLLO,,,,REVIEWED,UNMATCHED_research_result_stage5c_requirement | Do not copy APOLLO OCR full text
