ready_id,feature_id,requirement_id,topic,requirement_summary,source_document_id,source_edition,source_page,evidence_image,applicability,limitation,historical_or_target,target_standard_status,validation_rule_id,implementation_readiness,grok_acceptance,notes
RDY-001,F4-P1-007,REQ-5C-0001,unit_system:単位系選択,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-I,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,386,stage5b/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,設計計算に用いる単位・換算は本文規定と付録換算表に従う,APOLLO内部単位設定の適合判定は本調査対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0001,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-002,F4-P2-010,REQ-5C-0002,slab_load_input:床版設計荷重指定,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-I,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,233,stage5b/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,床版及び床組を設計する場合,数値確定・APOLLO入力値照合は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0002,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-003,F4-P5-015,REQ-5C-0003,live_load:路面荷重,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-I,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,232,stage5b/evidence/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,道路橋の設計状況設定・活荷重載荷,路面荷重という単語は道示索引外。活荷重規定として所在,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0003,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-004,F4-P1-051,REQ-5C-0013,standard_section:単位重量・物理定数データ,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,117,stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0001.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0013,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-005,F4-P3-008,REQ-5C-0021,section_check:断面チェック機能,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,117,stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0009.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0021,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-006,F4-P3-010,REQ-5C-0022,splice:添接計算の実行,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,303,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0010.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0022,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-007,F4-P3-010,REQ-5C-0023,splice:添接計算の実行,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,303,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0011.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0023,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-008,F4-P3-011,REQ-5C-0024,splice_bolt:フランジボルト配置変更方法1,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,303,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0012.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0024,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-009,F4-P3-014,REQ-5C-0025,splice_plate:添接板厚不足時の再計算,NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,303,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0013.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0025,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
RDY-010,F4-P3-016,REQ-5C-0026,splice_plate:フランジ材端修正方法(母材-5mm),NO_AUTO_NUMERIC_DETERMINATION,DOC-RBS-II,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,303,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0014.png,設計状況・部材種別に応じ適用（所在メモのみ）,数値確定・APOLLO入力値照合・適合判定は対象外,HISTORICAL_BASELINE_UNKNOWN_EDITION;TARGET_STANDARD_NOT_SELECTED,TARGET_STANDARD_NOT_SELECTED,VAL-REQ-5C-0026,SPEC_READY_NOT_IMPLEMENTED,ACCEPTED,READY≠implemented; edition not selected as Target
