sheet_number,view_id,view_type,view_title,scale,description
45,V01,section,A-A,S=1:30,"端横桁 A-A断面 1900/4512.2/1400"
45,V02,section,B-B,S=1:30,"端横桁 B-B断面"
45,V03,section,C-C,S=1:30,"端横桁 C-C断面 400/250/250"
45,V04,detail,ガセット取付図,S=1:30,"Gusset attachment detail"
45,V05,detail,a部詳細,S=1:10,"Detail a callout"
45,V06,detail,b部詳細,S=1:5,"Detail b callout - stud"
45,V07,detail,c部詳細,S=1:10,"Detail c callout"
45,V08,detail,d部詳細,S=1:5,"Detail d callout"
45,V09,detail,スタッド配置詳細,S=1:10,"Stud layout detail"
45,V10,detail,スタッド詳細図,S=1:5,"Individual stud detail"
46,V11,section,A-A,S=1:30,"端横桁(2) A-A断面 400"
46,V12,section,B-B,S=1:30,"端横桁(2) B-B断面 250"
46,V13,section,C-C,S=1:30,"端横桁(2) C-C断面 250"
46,V14,detail,ガセット取付図,S=1:30,"Gusset attachment detail"
47,V15,section,A-A,S=1:30,"中間支点横桁 A-A断面 560"
47,V16,detail,ガセット取付図,S=1:30,"Gusset attachment detail"
48,V17,section,D-D,S=1:30,"中間支点横桁(2) D-D断面"
48,V18,section,E-E,S=1:30,"中間支点横桁(2) E-E断面"
48,V19,detail,a部詳細,S=1:10,"Detail a callout"
48,V20,detail,b部詳細,S=1:5,"Detail b callout"
48,V21,detail,ガセット取付図,S=1:30,"Gusset attachment detail"
49,V22,detail,横桁開口詳細,S=1:20,"Cross beam opening detail C1/C2"
50,V23,detail,横桁開口詳細,S=1:20,"Cross beam opening detail C3/C4"
51,V24,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
52,V25,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
53,V26,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
54,V27,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
55,V28,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
56,V29,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
57,V30,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
58,V31,detail,横桁開口詳細,S=1:20,"Cross beam opening detail C19/C20"
59,V32,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
60,V33,detail,横桁開口詳細,S=1:20,"Cross beam opening detail"
61,V34,view,横構側面図,S=1:10,"Lateral bracing side view K.L. line"
61,V35,detail,K.L.詳細図,-,"K.L. detail view"
61,V36,detail,連結板詳細図,-,"Connection plate detail"
61,V37,detail,横構ボルトピッチ,S=1:10,"Brace bolt pitch detail"
61,V38,detail,横構取付概要図,-,"Brace installation overview"
62,V39,detail,K.L.詳細図,-,"K.L. detail view"
63,V40,detail,K.L.詳細図,-,"K.L. detail view"
64,V41,detail,K.L.詳細図,-,"K.L. detail view"
65,V42,detail,K.L.詳細図,-,"K.L. detail view"
66,V43,detail,K.L.詳細図,-,"K.L. detail view"
67,V44,detail,K.L.詳細図,-,"K.L. detail view"
68,V45,view,横構側面図,S=1:10,"Lateral bracing side view with web splice"
68,V46,detail,K.L.詳細図,-,"K.L. detail view"
68,V47,detail,WEB継手,-,"Web splice detail"
69,V48,detail,K.L.詳細図,-,"K.L. detail view"
70,V49,detail,K.L.詳細図,-,"K.L. detail view"
71,V50,detail,K.L.詳細図,-,"K.L. detail view"
72,V51,section,A-A,S=1:30,"巻き立てコンクリート A-A section 4512"
72,V52,section,C-C,S=1:30,"C-C section"
72,V53,section,D-D,S=1:30,"D-D section"
72,V54,section,G-G,S=1:30,"G-G section 3152"
73,V55,section,H-H,S=1:30,"H-H section 1650"
73,V56,section,I-I,S=1:30,"I-I section 1650"
73,V57,section,J-J,S=1:30,"J-J section 1650"
73,V58,section,K-K,S=1:30,"K-K section 1650"
73,V59,section,L-L,S=1:30,"L-L section 1650"
74,V60,section,A-A,S=1:30,"A-A section 4500 PR1"
74,V61,section,E-E,S=1:30,"E-E section 2500"
74,V62,detail,a部詳細,S=1:10,"Detail a callout"
75,V63,section,F-F,S=1:30,"F-F section"
78,V64,section,G-G,S=1:30,"G-G section PR1/PR2"
79,V65,section,H-H,S=1:30,"H-H section"
80,V66,section,E-E,S=1:30,"スタッド E-E section 4512"
81,V67,section,D-D,S=1:30,"D-D section"
82,V68,section,D-D,S=1:30,"D-D section PR2"
82,V69,section,E-E,S=1:30,"E-E section 2000 PR2"
85,V70,section,橋軸方向,S=1:15,"Bearing longitudinal section PU15-AR2"
85,V71,section,橋軸直角方向,S=1:15,"Bearing transverse section"
85,V72,detail,積層詳細図,S=1:5,"Laminated rubber bearing detail"
86,V73,section,橋軸方向,S=1:15,"Bearing longitudinal section PR1-PR2"
86,V74,section,橋軸直角方向,S=1:15,"Bearing transverse section"
86,V75,detail,積層詳細図,S=1:5,"Laminated rubber bearing detail"
87,V76,section,橋軸方向,S=1:15,"Bearing longitudinal section PU15-AR2"
87,V77,section,橋軸直角方向,S=1:15,"Bearing transverse section"
87,V78,detail,積層詳細図,S=1:5,"Laminated rubber bearing detail"
88,V79,section,橋軸方向,S=1:15,"Bearing longitudinal section PR1-PR2"
88,V80,section,橋軸直角方向,S=1:15,"Bearing transverse section"
88,V81,detail,積層詳細図,S=1:5,"Laminated rubber bearing detail"
