sheet_number,reference_id,from_element,to_calc_section,reference_type,description
45,REF-001,end_cross_beam_1,CAL-SEC-4.2,"cross_beam","端横桁 AG1-AG2 設計計算参照"
46,REF-002,end_cross_beam_2,CAL-SEC-4.2,"cross_beam","端横桁(2) 設計計算参照"
47,REF-003,pier_cross_beam_1,CAL-SEC-4.2,"pier_cross_beam","中間支点横桁 PR1-PR2 設計計算参照"
48,REF-004,pier_cross_beam_2,CAL-SEC-4.2,"pier_cross_beam","中間支点横桁(2) 設計計算参照"
49,REF-005,intermediate_cross_beam_1,CAL-SEC-4.2,"cross_beam","中間横桁 C1-C2 設計計算参照"
50,REF-006,intermediate_cross_beam_2,CAL-SEC-4.2,"cross_beam","中間横桁 C3-C4 設計計算参照"
51,REF-007,intermediate_cross_beam_3,CAL-SEC-4.2,"cross_beam","中間横桁 C5-C6"
52,REF-008,intermediate_cross_beam_4,CAL-SEC-4.2,"cross_beam","中間横桁 C7-C8"
53,REF-009,intermediate_cross_beam_5,CAL-SEC-4.2,"cross_beam","中間横桁 C9-C10"
54,REF-010,intermediate_cross_beam_6,CAL-SEC-4.2,"cross_beam","中間横桁 C11-C12"
55,REF-011,intermediate_cross_beam_7,CAL-SEC-4.2,"cross_beam","中間横桁 C13-C14"
56,REF-012,intermediate_cross_beam_8,CAL-SEC-4.2,"cross_beam","中間横桁 C15-C16"
57,REF-013,intermediate_cross_beam_9,CAL-SEC-4.2,"cross_beam","中間横桁 C17-C18"
58,REF-014,intermediate_cross_beam_10,CAL-SEC-4.2,"cross_beam","中間横桁 C19-C20"
59,REF-015,intermediate_cross_beam_11,CAL-SEC-4.2,"cross_beam","中間横桁(その11)"
60,REF-016,intermediate_cross_beam_12,CAL-SEC-4.2,"cross_beam","中間横桁(その12)"
61,REF-017,lateral_bracing_1,CAL-SEC-3.7,"lateral_bracing","上下横構 S1-C1 設計計算参照"
62,REF-018,lateral_bracing_2,CAL-SEC-3.7,"lateral_bracing","上下横構 C1-C2-C3-C4 設計計算参照"
63,REF-019,lateral_bracing_3,CAL-SEC-3.7,"lateral_bracing","上下横構(その3)"
64,REF-020,lateral_bracing_4,CAL-SEC-3.7,"lateral_bracing","上下横構(その4)"
65,REF-021,lateral_bracing_5,CAL-SEC-3.7,"lateral_bracing","上下横構(その5)"
66,REF-022,lateral_bracing_6,CAL-SEC-3.7,"lateral_bracing","上下横構(その6)"
67,REF-023,lateral_bracing_7,CAL-SEC-3.7,"lateral_bracing","上下横構(その7)"
68,REF-024,lateral_bracing_8,CAL-SEC-3.7,"lateral_bracing","上下横構 C16-PR2-C17 WEB継手"
69,REF-025,lateral_bracing_9,CAL-SEC-3.7,"lateral_bracing","上下横構(その9)"
70,REF-026,lateral_bracing_10,CAL-SEC-3.7,"lateral_bracing","上下横構(その10)"
71,REF-027,lateral_bracing_11,CAL-SEC-3.7,"lateral_bracing","上下横構(その11)"
72,REF-028,wrapping_concrete_1,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その1) PR1-PR2境界部"
73,REF-029,wrapping_concrete_2,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その2) 断面H-L"
74,REF-030,wrapping_concrete_3,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その3) PR1詳細"
75,REF-031,wrapping_concrete_4,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その4)"
76,REF-032,wrapping_concrete_5,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その5)"
77,REF-033,wrapping_concrete_6,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その6)"
78,REF-034,wrapping_concrete_7,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その7)"
79,REF-035,wrapping_concrete_8,CAL-SEC-5.0,"wrapping_concrete","巻き立てコンクリート(その8)"
80,REF-036,wrapping_concrete_stud_1,CAL-SEC-5.0,"stud","巻き立てコンクリートスタッド図(その1)"
81,REF-037,wrapping_concrete_stud_2,CAL-SEC-5.0,"stud","巻き立てコンクリートスタッド図(その2)"
82,REF-038,wrapping_concrete_stud_3,CAL-SEC-5.0,"stud","巻き立てコンクリートスタッド図(その3) PR2"
83,REF-039,wrapping_concrete_stud_4,CAL-SEC-5.0,"stud","巻き立てコンクリートスタッド図(その4)"
84,REF-040,composite_deck_layout,CAL-SEC-4.2,"composite_slab","合成床版割付図"
85,REF-041,bearing_detail_1,CAL-SEC-4.1,"bearing","支承詳細図 PU15-AR2 設計条件/反力"
86,REF-042,bearing_detail_2,CAL-SEC-4.1,"bearing","支承詳細図 PR1-PR2 設計条件/反力"
87,REF-043,bearing_detail_3,CAL-SEC-4.1,"bearing","支承詳細図 PU15-AR2 ソールプレート"
88,REF-044,bearing_detail_4,CAL-SEC-4.1,"bearing","支承詳細図 PR1-PR2 ソールプレート"
