sheet_number,table_id,table_type,content_summary,entries
45,TBL-001,bolt_schedule,"端横桁 ボルト一覧","24-TCB M22x80(S10T), 102-TCB M22x90(S10T), 24-TCB M22x80(S10T)"
45,TBL-002,material_list,"端横桁 部材一覧","UFLG PL 250x12x1599(SM490YA), UFLG PL 400x19x2908(SM490YB), WEB PL 2537x32x791(SM490YB), CONN PL 351x19x789(SM490YB), SPL PL 165x13x470(SM490YA), FILL PL 1686x8x233(SS400), STUD φ22x200(SS400)"
45,TBL-003,stud_schedule,"スタッド一覧","6-STUD φ22x200(SS400), 4-STUD φ22x200(SS400)"
46,TBL-004,bolt_schedule,"端横桁(2) ボルト","24-TCB M22x80(S10T)"
46,TBL-005,material_list,"端横桁(2) 部材","UFLG PL 400x19x2897(SM490YB), CONN PL 353x19x790(SM490YB), SPL PL 165x13x470(SM490YA)"
47,TBL-006,bolt_schedule,"中間支点横桁 ボルト","48-TCB M22x115(S10T)"
47,TBL-007,material_list,"中間支点横桁 部材","UFLG PL 560x32x2896(SM490YB), WEB PL 2614x40x791(SM490YB), WEB PL 1800x28x2932(SM490YB), CONN PL 495x32x791(SM490YB), SPL PL 230x22x620(SM490YB)"
49,TBL-008,bolt_schedule,"中間横桁(1) ボルト","8-TCB M22x80(S10T) x2"
49,TBL-009,material_list,"中間横桁(1) 部材","UFLG PL 250x12x3196, UFLG PL 250x12x3496, SPL PL 240x9x320(SS400), SPL PL 90x10x320(SS400), FILL PL 240x10x158(SS400)"
50,TBL-010,bolt_schedule,"中間横桁(2) ボルト","8-TCB M22x70(S10T) x2"
58,TBL-011,bolt_schedule,"中間横桁(10) ボルト","8-TCB M22x75(S10T) x2, 8-TCB M22x70(S10T) x2"
61,TBL-012,bolt_schedule,"上下横構(1) ボルト","36-TCB M22x80(S10T), 24-TCB M22x80(S10T), 12-TCB M22x80(S10T), 6-TCB M22x70(S10T), 52-TCB M22x80(S10T)"
61,TBL-013,material_list,"上下横構(1) ガセット","GUSS PL 570x22x1730(SM490YB), GUSS PL 640x22x940(SM490YB), GUSS PL 641x22x1200(SM490YB), GUSS PL 1270x22x1220(SM490YB)"
62,TBL-014,bolt_schedule,"上下横構(2) ボルト","10-TCB M22x60(S10T), 8-TCB M22x60(S10T), 12-TCB M22x60(S10T)"
62,TBL-015,material_list,"上下横構(2) ガセット","GUSS PL 491x12x980, GUSS PL 491x12x920, GUSS PL 541x12x1030"
68,TBL-016,bolt_schedule,"上下横構(8) ボルト","40-TCB M22x80(S10T) x2, 36-TCB M22x80(S10T)"
68,TBL-017,material_list,"上下横構(8) ガセット","GUSS PL 690x22x1040(SM490YB), GUSS PL 741x22x1510(SM490YB)"
85,TBL-018,design_conditions,"支承(1) 設計条件 PU15-AR2","Rmax=2000kN, Rmax2=1790kN, Rd=1230kN, Rl=390kN, Rheq1=1354kN, Rheq2=2290kN, Ru=1486kN"
85,TBL-019,displacement_conditions,"支承(1) 変位条件","δcl=0.58mm, δr=1.63mm, ΔL1=49.4mm, ΔLe1=399mm"
85,TBL-020,bolt_schedule,"支承(1) ボルト","4-M45, 24-M36, 8-M72"
86,TBL-021,design_conditions,"支承(2) 設計条件 PR1-PR2","Rmax=4730kN, Rmax2=4160kN, Rd=3350kN, Rl=----kN, Rheq1=3391kN, Rheq2=3997kN, Ru=1656kN"
86,TBL-022,displacement_conditions,"支承(2) 変位条件","δr=1.74mm, ΔL1=15.7mm, ΔLe1=346mm"
86,TBL-023,bolt_schedule,"支承(2) ボルト","8-M45, 24-M48, 8-M90"
87,TBL-024,design_conditions,"支承(3) 設計条件 PU15-AR2","Rmax=----kN, Rmax2=----kN, Rd=----kN, Rl=----kN, Rheq1=1354kN, Rheq2=----kN, Ru=----kN"
87,TBL-025,displacement_conditions,"支承(3) 変位条件","δcl=----mm, δr=----mm, ΔL1=49.4mm, ΔLe1=399mm, ΔLe2=----mm"
87,TBL-026,bolt_schedule,"支承(3) ボルト/鉄筋","8-M39, 8-D41"
88,TBL-027,design_conditions,"支承(4) 設計条件 PR1-PR2","Rmax=----kN, Rmax2=----kN, Rd=----kN, Rl=----kN, Rheq1=3391kN, Rheq2=----kN, Ru=----kN"
88,TBL-028,displacement_conditions,"支承(4) 変位条件","δcl=----mm, δr=----mm, ΔL1=15.7mm, ΔLe1=346mm, ΔLe2=----mm"
88,TBL-029,bolt_schedule,"支承(4) ボルト/鉄筋","20-M39, 20-D41"
72,TBL-030,rebar_schedule,"巻きコン(1) 鉄筋","H5 D25, H7 D25, H9 D25, H11 D25, K1 D19, K6 D19, K7 D19, K3 D19"
73,TBL-031,rebar_schedule,"巻きコン(2) 鉄筋","K1 D19, H6 D25"
74,TBL-032,rebar_schedule,"巻きコン(3) 鉄筋","H5 D25, H6 D25, H8 D25, H11 D25, K1 D19, K2 D19, K4 D19, K5 D19"
