element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
CAL-P00871-CAL-SEC-ch4-001,871,866,CAL-CH4,CAL-SEC-ch4,chapter_header,第4章 合成桁の設計,CAL-P00871,TEXT_EXTRACTED,HIGH,Chapter 4 - Composite girder design
CAL-P00872-CAL-SEC-4.1-001,872,867,CAL-CH4,CAL-SEC-4.1,section_header,4.1 主構断面力の計算,CAL-P00872,TEXT_EXTRACTED,HIGH,Section 4.1 - Main frame section force calculation
CAL-P00873-CAL-SEC-4.1.1-001,873,868,CAL-CH4,CAL-SEC-4.1.1,subsection_header,4.1.1 解析方針,CAL-P00873,TEXT_EXTRACTED,HIGH,Analysis policy
CAL-P00873-CAL-SEC-4.1.1-002,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,解析概要: 主桁・横桁からなる平面格子モデル。死荷重・活荷重を載荷。,CAL-P00873,TEXT_EXTRACTED,HIGH,Plane grid model with main girders and cross girders, dead and live loads
CAL-P00873-CAL-SEC-4.1.1-003,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,節点: 横断線位置/断面変化位置/0.15L位置。座標は線形計算結果を使用。,CAL-P00873,TEXT_EXTRACTED,HIGH,Nodes at cross-section lines, section change points, 0.15L positions
CAL-P00873-CAL-SEC-4.1.1-004,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,床版一括打設。合成前(鋼桁剛度)と合成後(合成断面剛度)の2モデル。,CAL-P00873,TEXT_EXTRACTED,HIGH,Deck monolithic casting. Pre-composite and post-composite models
CAL-P00873-CAL-SEC-4.1.1-005,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,主桁合成後剛度算出時のヤング係数比 n=7,CAL-P00873,TEXT_EXTRACTED,HIGH,Young's modulus ratio n=7 for composite stiffness
CAL-P00873-CAL-SEC-4.1.1-006,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,クリープ/乾燥収縮/温度差による断面力・たわみを道示Ⅱ14.2.2～14.2.4により算出,CAL-P00873,TEXT_EXTRACTED,HIGH,Consider creep/drying shrinkage/temperature difference per Doshin II
CAL-P00873-CAL-SEC-4.1.1-007,873,868,CAL-CH4,CAL-SEC-4.1.1,text_block,解析プログラム: 鋼橋自動設計システム APOLLO Analyzer 株式会社横河技術情報,CAL-P00873,TEXT_EXTRACTED,HIGH,APOLLO Analyzer by Yokogawa Technical Information
CAL-P00874-CAL-SEC-4.1.2-001,874,869,CAL-CH4,CAL-SEC-4.1.2,subsection_header,4.1.2 荷重強度,CAL-P00874,TEXT_EXTRACTED,HIGH,Load intensities
CAL-P00874-CAL-SEC-4.1.2-002,874,869,CAL-CH4,CAL-SEC-4.1.2,text_block,荷重強度は荷重係数を乗じていない荷重の特性値,CAL-P00874,TEXT_EXTRACTED,HIGH,Load intensities are characteristic values without load factors
CAL-P00874-CAL-SEC-4.1.2-003,874,869,CAL-CH4,CAL-SEC-4.1.2,figure,標準断面図,CAL-P00874,TEXT_EXTRACTED,MEDIUM,"Standard cross-section 8010x7000 with composite deck t=230mm, asphalt t=80mm"
CAL-P00876-CAL-SEC-4.1.2-001,876,871,CAL-CH4,CAL-SEC-4.1.2,subsection_header,(2) 死荷重 1) 合成前死荷重,CAL-P00876,TEXT_EXTRACTED,HIGH,Pre-composite dead load
CAL-P00876-CAL-SEC-4.1.2-002,876,871,CAL-CH4,CAL-SEC-4.1.2,table,合成前死荷重一覧,CAL-P00876,TEXT_EXTRACTED,MEDIUM,Pre-composite dead load summary - slab/haunch/steel/inspection/nose
CAL-P00881-CAL-SEC-4.1.2-001,881,876,CAL-CH4,CAL-SEC-4.1.2,subsection_header,2) 合成後死荷重,CAL-P00881,TEXT_EXTRACTED,HIGH,Post-composite dead load
CAL-P00882-CAL-SEC-4.1.2-001,882,877,CAL-CH4,CAL-SEC-4.1.2,table,合成後死荷重一覧表,CAL-P00882,TEXT_EXTRACTED,MEDIUM,Post-composite dead load summary - pavement/wall rail/sound barrier
CAL-P00893-CAL-SEC-4.1.2-001,893,888,CAL-CH4,CAL-SEC-4.1.2,subsection_header,(3) 活荷重,CAL-P00893,TEXT_EXTRACTED,HIGH,Live load - B活荷重
CAL-P00893-CAL-SEC-4.1.2-002,893,888,CAL-CH4,CAL-SEC-4.1.2,table,衝撃係数一覧,CAL-P00893,TEXT_EXTRACTED,MEDIUM,Impact coefficients per span
CAL-P00893-CAL-SEC-4.1.2-003,893,888,CAL-CH4,CAL-SEC-4.1.2,subsection_header,(4) 組み合わせ係数および荷重係数,CAL-P00893,TEXT_EXTRACTED,HIGH,Combination and load factors
CAL-P00893-CAL-SEC-4.1.2-004,893,888,CAL-CH4,CAL-SEC-4.1.2,text_block,組み合わせ係数および荷重係数は道示Ⅰ3.3表3-3.1による,CAL-P00893,TEXT_EXTRACTED,HIGH,Per Doshin I Section 3.3 Table 3-3.1
