value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-VAL-P00845-001,845,840,CAL-CH3,CAL-SEC-3.7.1,設計供用期間,100,年,100,年,DESIGN_PARAMETER,calc_pdf_p845,HIGH,UNVERIFIED
CAL-VAL-P00845-002,845,840,CAL-CH3,CAL-SEC-3.7.1,ADTTSLi,379,台/日/車線,379,台/日/車線,LOAD_VALUE,calc_pdf_p845,HIGH,UNVERIFIED
CAL-VAL-P00845-003,845,840,CAL-CH3,CAL-SEC-3.7.1,F荷重,200,kN,200,kN,LOAD_VALUE,calc_pdf_p845,HIGH,UNVERIFIED
CAL-VAL-P00845-004,845,840,CAL-CH3,CAL-SEC-3.7.1,最小支間長,40.020,m,40.020,m,DIMENSION,calc_pdf_p845,HIGH,UNVERIFIED
CAL-VAL-P00846-001,846,841,CAL-CH3,CAL-SEC-3.7.1,gammaF1,3.00,,3.00,,COEFFICIENT,calc_pdf_p846,HIGH,UNVERIFIED
CAL-VAL-P00846-002,846,841,CAL-CH3,CAL-SEC-3.7.1,gammaF2,1.00,,1.00,,COEFFICIENT,calc_pdf_p846,HIGH,UNVERIFIED
CAL-VAL-P00846-003,846,841,CAL-CH3,CAL-SEC-3.7.1,gammaF3,1.00,,1.00,,COEFFICIENT,calc_pdf_p846,HIGH,UNVERIFIED
CAL-VAL-P00846-004,846,841,CAL-CH3,CAL-SEC-3.7.1,gamma_a,0.80,,0.80,,COEFFICIENT,calc_pdf_p846,HIGH,UNVERIFIED
CAL-VAL-P00846-005,846,841,CAL-CH3,CAL-SEC-3.7.1,gammaF総合,3.00,,3.00,,COEFFICIENT,calc_pdf_p846,HIGH,UNVERIFIED
CAL-VAL-P00850-001,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1 Rc,2998.500,m,2998.500,m,DIMENSION,calc_pdf_p850,HIGH,UNVERIFIED
CAL-VAL-P00850-002,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1 Ix,0.077140,m4,0.077140,m4,SECTION_PROPERTY,calc_pdf_p850,HIGH,UNVERIFIED
CAL-VAL-P00850-003,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1 死荷重応力,63,N/mm2,63,N/mm2,ANALYSIS_RESULT,calc_pdf_p850,HIGH,UNVERIFIED
CAL-VAL-P00851-001,851,846,CAL-CH3,CAL-SEC-3.7.1,No.1 delta_sigma_max,54,N/mm2,54,N/mm2,ANALYSIS_RESULT,calc_pdf_p851,HIGH,UNVERIFIED
CAL-VAL-P00851-002,851,846,CAL-CH3,CAL-SEC-3.7.1,G等級打切delta_sigma_ce,32,N/mm2,32,N/mm2,MATERIAL_PROPERTY,calc_pdf_p851,HIGH,UNVERIFIED
CAL-VAL-P00852-001,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1 nti,0.42e6,回,420000,回,LOAD_VALUE,calc_pdf_p852,HIGH,UNVERIFIED
CAL-VAL-P00852-002,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1 N1_1,1.61e6,回,1610000,回,ANALYSIS_RESULT,calc_pdf_p852,HIGH,UNVERIFIED
CAL-VAL-P00852-003,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1 D,0.26,,0.26,,VERIFICATION_RESULT,calc_pdf_p852,HIGH,UNVERIFIED
CAL-VAL-P00852-004,852,847,CAL-CH3,CAL-SEC-3.7.1,G delta_sigma_f,50,N/mm2,50,N/mm2,MATERIAL_PROPERTY,calc_pdf_p852,HIGH,UNVERIFIED
CAL-VAL-P00852-005,852,847,CAL-CH3,CAL-SEC-3.7.1,G delta_sigma_ve,15,N/mm2,15,N/mm2,MATERIAL_PROPERTY,calc_pdf_p852,HIGH,UNVERIFIED
CAL-VAL-P00853-001,853,848,CAL-CH3,CAL-SEC-3.7.1,No.2 Ix,0.076329,m4,0.076329,m4,SECTION_PROPERTY,calc_pdf_p853,HIGH,UNVERIFIED
CAL-VAL-P00853-002,853,848,CAL-CH3,CAL-SEC-3.7.1,No.2 y,-1.3405,m,-1.3405,m,DIMENSION,calc_pdf_p853,HIGH,UNVERIFIED
CAL-VAL-P00853-003,853,848,CAL-CH3,CAL-SEC-3.7.1,No.2 死荷重応力,-84,N/mm2,-84,N/mm2,ANALYSIS_RESULT,calc_pdf_p853,HIGH,UNVERIFIED
CAL-VAL-P00854-001,854,849,CAL-CH3,CAL-SEC-3.7.1,No.2 delta_sigma_max,80,N/mm2,80,N/mm2,ANALYSIS_RESULT,calc_pdf_p854,HIGH,UNVERIFIED
CAL-VAL-P00854-002,854,849,CAL-CH3,CAL-SEC-3.7.1,No.2 CR,1.30,,1.30,,COEFFICIENT,calc_pdf_p854,HIGH,UNVERIFIED
