table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P00845-001,845,840,CAL-CH3,CAL-SEC-3.7.1,照査条件,項目/値,最小支間長,,40.020 m,40.020,m,40.020,m,DIMENSION,calc_pdf_p845,HIGH,UNVERIFIED
CAL-TBL-P00845-002,845,840,CAL-CH3,CAL-SEC-3.7.1,照査条件,項目/値,ADTTSLi,,379台,379,台,379,台,LOAD_VALUE,calc_pdf_p845,HIGH,UNVERIFIED
CAL-TBL-P00845-003,845,840,CAL-CH3,CAL-SEC-3.7.1,照査条件,項目/値,F荷重,,200 kN,200,kN,200,kN,LOAD_VALUE,calc_pdf_p845,HIGH,UNVERIFIED
CAL-TBL-P00850-001,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1断面,項目/値,Rc,,2998.500 m,2998.500,m,2998.500,m,DIMENSION,calc_pdf_p850,HIGH,UNVERIFIED
CAL-TBL-P00850-002,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1断面,項目/値,Ix,,0.077140 m4,0.077140,m4,0.077140,m4,SECTION_PROPERTY,calc_pdf_p850,HIGH,UNVERIFIED
CAL-TBL-P00850-003,850,845,CAL-CH3,CAL-SEC-3.7.1,No.1断面,項目/値,y,,0.9080 m,0.9080,m,0.9080,m,DIMENSION,calc_pdf_p850,HIGH,UNVERIFIED
CAL-TBL-P00851-001,851,846,CAL-CH3,CAL-SEC-3.7.1,No.1応力範囲,項目/値,delta_sigma_max,,54 N/mm2,54,N/mm2,54,N/mm2,ANALYSIS_RESULT,calc_pdf_p851,HIGH,UNVERIFIED
CAL-TBL-P00851-002,851,846,CAL-CH3,CAL-SEC-3.7.1,No.1応力範囲,項目/値,delta_sigma_ce(G),,32 N/mm2,32,N/mm2,32,N/mm2,MATERIAL_PROPERTY,calc_pdf_p851,HIGH,UNVERIFIED
CAL-TBL-P00851-003,851,846,CAL-CH3,CAL-SEC-3.7.1,No.1応力範囲,項目/値,簡便照査 54>32 NG,,,NG,,,,VERIFICATION_RESULT,calc_pdf_p851,HIGH,UNVERIFIED
CAL-TBL-P00852-001,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1損傷度,項目/値,nti,,0.42e6回,0.42e6,回,420000,回,LOAD_VALUE,calc_pdf_p852,HIGH,UNVERIFIED
CAL-TBL-P00852-002,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1損傷度,項目/値,N1_1,,1.61e6回,1.61e6,回,1610000,回,ANALYSIS_RESULT,calc_pdf_p852,HIGH,UNVERIFIED
CAL-TBL-P00852-003,852,847,CAL-CH3,CAL-SEC-3.7.1,No.1損傷度,項目/値,D,,0.26<=1.0 OK,0.26,,0.26,,VERIFICATION_RESULT,calc_pdf_p852,HIGH,UNVERIFIED
CAL-TBL-P00853-001,853,848,CAL-CH3,CAL-SEC-3.7.1,No.2断面,項目/値,Ix,,0.076329 m4,0.076329,m4,0.076329,m4,SECTION_PROPERTY,calc_pdf_p853,HIGH,UNVERIFIED
CAL-TBL-P00853-002,853,848,CAL-CH3,CAL-SEC-3.7.1,No.2断面,項目/値,y,,-1.3405 m,-1.3405,m,-1.3405,m,DIMENSION,calc_pdf_p853,HIGH,UNVERIFIED
CAL-TBL-P00854-001,854,849,CAL-CH3,CAL-SEC-3.7.1,No.2応力範囲,項目/値,delta_sigma_max,,80 N/mm2,80,N/mm2,80,N/mm2,ANALYSIS_RESULT,calc_pdf_p854,HIGH,UNVERIFIED
CAL-TBL-P00854-002,854,849,CAL-CH3,CAL-SEC-3.7.1,No.2応力範囲,項目/値,CR(応力比R=2.25),,,1.30,,1.30,,COEFFICIENT,calc_pdf_p854,HIGH,UNVERIFIED
