element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
CAL-P00817-CAL-SEC-3.6-001,817,812,CAL-CH3,CAL-SEC-3.6,section_header,3.6 巻き立てコンクリートの設計,calc_pdf_p817,TEXT_EXTRACTED,HIGH,Wrapping concrete design section title
CAL-P00818-CAL-SEC-3.6.1-001,818,813,CAL-CH3,CAL-SEC-3.6.1,subsection_header,3.6.1 設計方針,calc_pdf_p818,TEXT_EXTRACTED,HIGH,Design policy
CAL-P00818-CAL-SEC-3.6.1-002,818,813,CAL-CH3,CAL-SEC-3.6.1,text_block,本体部:鉄筋量断面積0.15%以上 最大径32mm 最大間隔300mm 道示III5.2,calc_pdf_p818,TEXT_EXTRACTED,HIGH,Min rebar 0.15% Doshin III 5.2
CAL-P00818-CAL-SEC-3.6.1-003,818,813,CAL-CH3,CAL-SEC-3.6.1,text_block,下端突起部:水平支承橋軸方向力考慮 下フランジ補強材位置固定片持ち梁計算,calc_pdf_p818,TEXT_EXTRACTED,HIGH,Bottom projection cantilever beam
CAL-P00818-CAL-SEC-3.6.1-004,818,813,CAL-CH3,CAL-SEC-3.6.1,figure,巻き立てコンクリート概要図 S1/S2/PR1/PR2,calc_pdf_p818,TEXT_EXTRACTED,MEDIUM,Wrapping concrete overview
CAL-P00819-CAL-SEC-3.6.2-001,819,814,CAL-CH3,CAL-SEC-3.6.2,subsection_header,3.6.2 本体部 端支点S1,calc_pdf_p819,TEXT_EXTRACTED,HIGH,Main body S1
CAL-P00819-CAL-SEC-3.6.2-002,819,814,CAL-CH3,CAL-SEC-3.6.2,figure,S1断面図 B=1500 H=2280 D19@250 7段 D25@250 4本,calc_pdf_p819,TEXT_EXTRACTED,MEDIUM,S1 section 1500x2280
CAL-P00819-CAL-SEC-3.6.2-003,819,814,CAL-CH3,CAL-SEC-3.6.2,table,S1 Ac=34200cm2 Asreq=51.30cm2 D19n>=18 D25n>=3本,calc_pdf_p819,TEXT_EXTRACTED,MEDIUM,S1 rebar calcs
CAL-P00820-CAL-SEC-3.6.2-001,820,815,CAL-CH3,CAL-SEC-3.6.2,subsection_header,端支点S2 本体部,calc_pdf_p820,TEXT_EXTRACTED,HIGH,Main body S2
CAL-P00820-CAL-SEC-3.6.2-002,820,815,CAL-CH3,CAL-SEC-3.6.2,figure,S2断面図 B=1500 H=2400 D19@250 7段 D25@250 4本,calc_pdf_p820,TEXT_EXTRACTED,MEDIUM,S2 section 1500x2400
CAL-P00820-CAL-SEC-3.6.2-003,820,815,CAL-CH3,CAL-SEC-3.6.2,table,S2 Ac=36000cm2 Asreq=54.00cm2 D19n>=19 D25n>=3本,calc_pdf_p820,TEXT_EXTRACTED,MEDIUM,S2 rebar calcs
CAL-P00821-CAL-SEC-3.6.2-001,821,816,CAL-CH3,CAL-SEC-3.6.2,subsection_header,中間支点PR1/PR2 本体部,calc_pdf_p821,TEXT_EXTRACTED,HIGH,Main body PR1/PR2
CAL-P00821-CAL-SEC-3.6.2-002,821,816,CAL-CH3,CAL-SEC-3.6.2,figure,PR1/PR2断面図 B=2000 H=2400 D19@250 7段 D25@250 4本,calc_pdf_p821,TEXT_EXTRACTED,MEDIUM,PR1/PR2 section 2000x2400
CAL-P00821-CAL-SEC-3.6.2-003,821,816,CAL-CH3,CAL-SEC-3.6.2,table,PR1/PR2 Ac=48000cm2 Asreq=72.00cm2 D19n>=26 D25n>=3本,calc_pdf_p821,TEXT_EXTRACTED,MEDIUM,PR1/PR2 rebar calcs
CAL-P00822-CAL-SEC-3.6.3-001,822,817,CAL-CH3,CAL-SEC-3.6.3,subsection_header,3.6.3 下端突起部 端支点S1/S2,calc_pdf_p822,TEXT_EXTRACTED,HIGH,Bottom projection end support
CAL-P00822-CAL-SEC-3.6.3-002,822,817,CAL-CH3,CAL-SEC-3.6.3,figure,端支点下端突起部断面図,calc_pdf_p822,TEXT_EXTRACTED,MEDIUM,End support projection section
CAL-P00823-CAL-SEC-3.6.3-001,823,818,CAL-CH3,CAL-SEC-3.6.3,table,S1/S2突起部断面力/断面諸元/鉄筋計算,calc_pdf_p823,TEXT_EXTRACTED,MEDIUM,S1/S2 projection calcs
CAL-P00824-CAL-SEC-3.6.3-001,824,819,CAL-CH3,CAL-SEC-3.6.3,table,端支点突起部曲げ/せん断照査,calc_pdf_p824,TEXT_EXTRACTED,MEDIUM,End support bending/shear
CAL-P00832-CAL-SEC-3.6.3-001,832,827,CAL-CH3,CAL-SEC-3.6.3,table,中間支点PR1/PR2突起部断面力/鉄筋計算,calc_pdf_p832,TEXT_EXTRACTED,MEDIUM,PR1/PR2 projection calcs
CAL-P00833-CAL-SEC-3.6.3-001,833,828,CAL-CH3,CAL-SEC-3.6.3,table,中間支点突起部曲げ/せん断照査,calc_pdf_p833,TEXT_EXTRACTED,MEDIUM,PR1/PR2 bending/shear
CAL-P00839-CAL-SEC-3.6.3-001,839,834,CAL-CH3,CAL-SEC-3.6.3,table,中間支点突起部照査(最終),calc_pdf_p839,TEXT_EXTRACTED,MEDIUM,PR1/PR2 projection final
CAL-P00840-CAL-SEC-3.6.4-001,840,835,CAL-CH3,CAL-SEC-3.6.4,subsection_header,3.6.4 支点上横桁ずれ止め計算,calc_pdf_p840,TEXT_EXTRACTED,HIGH,Shear connector on pier cross beam
CAL-P00840-CAL-SEC-3.6.4-002,840,835,CAL-CH3,CAL-SEC-3.6.4,table,ずれ止め スタッド配置/耐力照査,calc_pdf_p840,TEXT_EXTRACTED,MEDIUM,Stud layout and capacity
