source_record_id,pdf_page_number,note_kind,note_summary,semantic_class,source_locator,confidence
CH1-NOTE-001,7,design_policy,本橋の設計について - 非合成桁を主体とし合成断面の照査を行う。主桁断面決定および継手計算は非合成断面と合成断面の双方を満足させる。中間補剛材も同様。床版・支点補剛材・横桁・横構・疲労設計は非合成桁で代表する。,NOTE,calc_pdf_p7,HIGH
CH1-NOTE-002,7,design_policy,本橋の支承について - 回転照査を満足させるため機能分離型支承と荷重調整型支承の形式比較を行い荷重調整型支承を採用。詳細は報告書2編設計概要書を参照。,NOTE,calc_pdf_p7,HIGH
CH2-NOTE-001,16,scope_note,計算はノーズ部を考慮しない標準幅員で行う。,NOTE,calc_pdf_p16,HIGH
CH2-NOTE-002,18,design_scope,寸法は標準幅員のS1で代表,SECTION_PROPERTY,calc_pdf_p18,HIGH
CH2-NOTE-003,19,design_note,スラッド高さ: 0.7×hc=0.7×222=155.4≒160mm,DIMENSION,calc_pdf_p19,HIGH
CH2-NOTE-004,20,design_note,ハンチ筋は設計断面に考慮する。,NOTE,calc_pdf_p20,HIGH
CH2-NOTE-005,21,method_note,鋼板の膜作用による曲げモーメントと鋼板+横リブの梁としての曲げモーメントを照査する。,NOTE,calc_pdf_p21,HIGH
CH2-NOTE-006,21,method_note,鋼板を主桁と横リブで囲まれた4辺固定支持板としてモデル化。,NOTE,calc_pdf_p21,HIGH
CH2-NOTE-007,21,method_note,係数βx、βyは構造力学公式集:平板の数値表により算出する。,REFERENCE_TEXT,calc_pdf_p21,HIGH
CH2-NOTE-008,29,reference_note,道示Ⅱ 11.5 式11.5.2,REFERENCE_TEXT,calc_pdf_p29,HIGH
CH2-NOTE-009,33,reference_note,道示Ⅱ 11.2.3 表-11.2.4,REFERENCE_TEXT,calc_pdf_p33,HIGH
CAL-NOT-P00117-001,117,design_approach,主桁/横桁を骨組とした平面格子構造物として変形法による解析,NOTE,calc_pdf_p117,HIGH
CAL-NOT-P00117-002,117,design_approach,全死荷重及び活荷重に対し横桁で荷重分配を行う,NOTE,calc_pdf_p117,HIGH
CAL-NOT-P00117-003,117,tool_reference,解析プログラム: 鋼橋自動設計システム APOLLO Analyzer 株式会社横河技術情報,NOTE,calc_pdf_p117,HIGH
CAL-NOT-P00118-001,118,design_condition,荷重強度は荷重係数を乗じていない荷重の特性値である,NOTE,calc_pdf_p118,HIGH
CAL-NOT-P00118-002,118,design_condition,PU15付近の左側壁高欄部はノーズ部荷重を考慮する,NOTE,calc_pdf_p118,HIGH
CAL-NOT-P00119-001,119,design_note,走行車線直下に載荷 (検査路),NOTE,calc_pdf_p119,HIGH
CAL-NOT-P00119-002,119,design_note,高欄外側に載荷 (遮音壁),NOTE,calc_pdf_p119,HIGH
CAL-NOT-P00119-003,119,design_note,荷重は格点に載荷する (ノーズ部/床版拡幅/床版打下し),NOTE,calc_pdf_p119,HIGH
CAL-NOT-P00122-001,122,design_note,左側の高欄荷重と遮音壁荷重はノーズ部の控除を行う,NOTE,calc_pdf_p122,HIGH
CAL-NOT-P00122-002,122,design_note,載荷する荷重強度は計算プログラムの様式に合わせて調整する,NOTE,calc_pdf_p122,HIGH
CAL-NOT-P00124-001,124,design_note,C1-C2間の荷重についてはC1からの距離が小さいためC2には考慮せずC1に載荷する,NOTE,calc_pdf_p124,HIGH
CAL-NOT-P00125-001,125,design_result,AG1桁の各格点に格点集中荷重とし整数1位に切り上げる,NOTE,calc_pdf_p125,HIGH
CAL-NOT-P00128-001,128,design_result,AG1桁の各格点に格点集中荷重とし整数1位に切り上げる,NOTE,calc_pdf_p128,HIGH
