formula_id,subsection,symbol,description,equation,reference
F01,3.2.1,σtud,"Tension stress limit (limit state 3)","σtud = ξ1 × ξ2 × Φut × σyk","道示Ⅱ 式(5.4.22)"
F02,3.2.1,σcud,"Compression stress limit (limit state 3)","σcud = min(σcrld, σbrgd)","道示Ⅱ 5.4.6"
F03,3.2.1,σcrld,"Local buckling stress limit","σcrld = ξ1 × ξ2 × Φu × ρcrl × σyk","道示Ⅱ 式(5.4.5)"
F04,3.2.1,σbrgd,"Lateral torsional buckling limit","σbrgd = ξ1 × ξ2 × Φu × ρbrg × σyk","道示Ⅱ 式(5.4.23)"
F05,3.2.1,σb,"Bending stress","σb = M × y / I","道示Ⅱ 式(13.2.1)"
F06,3.2.1,τb,"Shear stress","τb = S / Aw","道示Ⅱ 式(13.2.2)"
F07,3.2.1,τud,"Shear stress limit","τud = ξ1 × ξ2 × Φus × τyk","道示Ⅱ 式(5.4.28)"
F08,3.2.1,κ,"Combined bending+shear check","κ = (σb/σtyd)² + (τb/τyd)² ≤ 1.2","道示Ⅱ 式(5.3.2)"
F09,3.2.4,Vsd,"Bolt force per bolt (limit state 1)","Vsd = Psd / n ≤ Vfyd = ξ1 × ΦMfv × Vfk × m × α","道示Ⅱ 式(9.6.2)"
F10,3.2.4,Psd,"Force on bolt group","Psd = σ × b × t","道示Ⅱ 9.6"
F11,3.2.4,Vsd_LS3,"Bolt force per bolt (limit state 3)","Vsd = Psd / n ≤ Vfud = ξ1 × ξ2 × ΦMBsl × τuk × As × m","道示Ⅱ 式(9.9.1)(9.9.2)"
F12,3.2.4,Vsdi,"Web bolt i-th row force","Vsdi = Psdi / ni ≤ Vfyd","道示Ⅱ 式(9.6.1)"
F13,3.2.4,Vsds,"Web bolt shear force","Vsds = Ssd / n ≤ Vfyd","道示Ⅱ 式(9.6.3)"
F14,3.2.4,Vsdm,"Web bolt moment force (LS3)","Vsdm = (Msd / Σyi²) × yi ≤ yi/yn × Vfud","道示Ⅱ 式(9.9.3)"
F15,3.2.4,Combined_web,"Web bolt combined check","√(Vsdi² + Vsds²) ≤ Vfyd","道示Ⅱ 式(9.6.4)"
F16,3.2.6,σbyd,"Bearing stress limit","σbyd = ξ1 × Φb × α × σbk","道示Ⅱ 式(5.3.9)"
F17,3.2.6,σcud_col,"Column compression limit","σcud = ξ1 × ξ2 × Φu × ρcrg × ρcrl × σyk","道示Ⅱ 式(5.4.17)"
F18,3.2.6,τb_weld,"Weld shear stress","τb = P / Σ(a × L)","道示Ⅱ 式(9.4.4)"
F19,3.2.6,stab,"Stability under horizontal load","-σc/σcud + σcz/[σcuzdo×{1-σc/(0.8×σez)}] ≤ 1.0","道示Ⅱ 5.4.4"
F20,3.2.14,weld_check,"Weld combined check","(σb/σyd)² + (τb/τyd)² ≤ 1.2","道示Ⅱ 式(9.3.3)"
F21,3.2.14,weld_shear,"Weld shear stress","τb = τw × tw / A","Derived"
F22,3.2.14,Areq,"Required weld throat","If (σb/σyd)²<0.2: Areq=τw×tw/τyd; else: Areq=τw×tw/(τyd×√(1.2-(σb/σyd)²))","Derived"
F23,3.2.10,M_seismic,"Moment by lateral seismic force","M = H × h","3.2.6"
F24,3.2.1,σu2,"Curvature secondary stress (upper)","σu2 = 0.106×σu/(R×Iu) × (Au+Awequ/3) × λ²","Derived (program formula)"
F25,3.2.14,fillet_weld_min,"Minimum fillet weld size","St = √(2×plate thickness) ≥ 6mm","3.2.14"
F26,3.2.17,weld_throat,"Effective throat area (groove weld)","A = (D+S')×Sinα-3, α=tan⁻¹(b/S')","3.2.14"
