golden_id,quantity,value,unit
GOLD-SP-001,input.topFlangeWidth,0.500,m
GOLD-SP-001,input.topFlangeThickness,0.030,m
GOLD-SP-001,input.bottomFlangeWidth,0.500,m
GOLD-SP-001,input.bottomFlangeThickness,0.030,m
GOLD-SP-001,input.webThickness,0.012,m
GOLD-SP-001,input.girderDepth,2.500,m
GOLD-SP-001,input.bridgeLength,40.000,m
GOLD-SP-001,webHeight,2.440,m
GOLD-SP-001,topFlangeArea,0.015000,m^2
GOLD-SP-001,bottomFlangeArea,0.015000,m^2
GOLD-SP-001,webArea,0.029280,m^2
GOLD-SP-001,totalArea,0.059280,m^2
GOLD-SP-001,topFlangeCentroidFromBottom,2.485,m
GOLD-SP-001,bottomFlangeCentroidFromBottom,0.015,m
GOLD-SP-001,webCentroidFromBottom,1.250,m
GOLD-SP-001,firstMomentSum,0.074100000,m^3
GOLD-SP-001,centroidFromBottom,1.250,m
GOLD-SP-001,topFlangeLocalI,0.000001125000,m^4
GOLD-SP-001,topFlangeParallelAxisI,0.022878375000,m^4
GOLD-SP-001,I_tf,0.022879500000,m^4
GOLD-SP-001,bottomFlangeLocalI,0.000001125000,m^4
GOLD-SP-001,bottomFlangeParallelAxisI,0.022878375000,m^4
GOLD-SP-001,I_bf,0.022879500000,m^4
GOLD-SP-001,webLocalI,0.014526784000,m^4
GOLD-SP-001,webParallelAxisI,0.000000,m^4
GOLD-SP-001,I_w,0.014526784000,m^4
GOLD-SP-001,secondMomentOfArea,0.060285784000,m^4
GOLD-SP-001,topExtremeDistance,1.250,m
GOLD-SP-001,bottomExtremeDistance,1.250,m
GOLD-SP-001,sectionModulusTop,0.0482286272,m^3
GOLD-SP-001,sectionModulusBottom,0.0482286272,m^3
GOLD-SP-001,unitLengthVolume,0.059280,m^3/m
GOLD-SP-001,steelVolumePerGirder,2.371200000,m^3
GOLD-SP-002,input.topFlangeWidth,0.500,m
GOLD-SP-002,input.topFlangeThickness,0.020,m
GOLD-SP-002,input.bottomFlangeWidth,0.600,m
GOLD-SP-002,input.bottomFlangeThickness,0.025,m
GOLD-SP-002,input.webThickness,0.012,m
GOLD-SP-002,input.girderDepth,2.500,m
GOLD-SP-002,input.bridgeLength,200.000,m
GOLD-SP-002,webHeight,2.455,m
GOLD-SP-002,topFlangeArea,0.010000,m^2
GOLD-SP-002,bottomFlangeArea,0.015000,m^2
GOLD-SP-002,webArea,0.029460,m^2
GOLD-SP-002,totalArea,0.054460,m^2
GOLD-SP-002,topFlangeCentroidFromBottom,2.490,m
GOLD-SP-002,bottomFlangeCentroidFromBottom,0.0125,m
GOLD-SP-002,webCentroidFromBottom,1.2525,m
GOLD-SP-002,firstMomentSum,0.0619861500,m^3
GOLD-SP-002,centroidFromBottom,1.1381959236136614028644876973925817113477781858244583180315828130738156445097319,m
GOLD-SP-002,topFlangeLocalI,0.00000033333333333333333333333333333333333333333333333333333333333333333333333333333333,m^4
GOLD-SP-002,topFlangeParallelAxisI,0.018273742609347219567970724216623426156235784207352689491416341716602184651657532,m^4
GOLD-SP-002,I_tf,0.018274075942680552901304057549956759489569117540686022824749675049935517984990865,m^4
GOLD-SP-002,bottomFlangeLocalI,0.000000781250,m^4
GOLD-SP-002,bottomFlangeParallelAxisI,0.019007869686606213119859134433638774930277289972431898724821905156614624755672122,m^4
GOLD-SP-002,I_bf,0.019008650936606213119859134433638774930277289972431898724821905156614624755672122,m^4
GOLD-SP-002,webLocalI,0.014796346375,m^4
GOLD-SP-002,webParallelAxisI,0.00038490732854160954500157726600662006662684502697266481350835613816769297974342700,m^4
GOLD-SP-002,I_w,0.015181253703541609545001577266006620066626845026972664813508356138167692979743427,m^4
GOLD-SP-002,secondMomentOfArea,0.052463980582828375566164769249602154486473252540090586363079936344717835720406414,m^4
GOLD-SP-002,topExtremeDistance,1.3618040763863385971355123026074182886522218141755416819684171869261843554902681,m
GOLD-SP-002,bottomExtremeDistance,1.1381959236136614028644876973925817113477781858244583180315828130738156445097319,m
GOLD-SP-002,sectionModulusTop,0.038525351401536372954388604870611940093904689863502681337785637252291154428111988,m^3
GOLD-SP-002,sectionModulusBottom,0.046093980389826329483817487185981599653040773355553350761957845959675400606963545,m^3
GOLD-SP-002,unitLengthVolume,0.054460,m^3/m
GOLD-SP-002,steelVolumePerGirder,10.892000000,m^3
