gap_id,affected_stage,source_area,current_status,source_register,missing_evidence,linked_blocker_ids,numeric_release_impact
SG-001,DS-01,R7 metadata clause and errata locators,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,01_target_standard/edition_and_errata_register.csv,Licensed visual metadata clause table errata and locator chain,BLK-S1-001;BLK-S1-003;BLK-S1-006;BLK-S1-008;DTR-06,BLOCKS
SG-002,DS-02,JIS identity edition equivalence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,02_jis/jis_source_register.csv,34 per-row identity edition citation and equivalence packages,BLK-S1-002,BLOCKS
SG-003,DS-03,Material values units applicability,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,03_materials/material_properties_register.csv,39 blocked property source packages,BLK-S1-005,BLOCKS
SG-004,DS-04,Load models and magnitudes,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,04_loads/load_model_register.csv,10 blocked in-scope load model identities and magnitudes,BLK-S1-004,BLOCKS
SG-005,DS-04,Load factors,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,04_loads/load_factor_register.csv,10 factor source locator and decision packages,BLK-S1-004,BLOCKS
SG-006,DS-04,Combinations and simultaneity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,04_loads/load_combination_register.csv;04_loads/simultaneity_and_exclusivity_rules.csv,Components coefficients sign and five rule classes,BLK-S1-004,BLOCKS
SG-007,DS-05,Performance and limit states,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,05_verification/performance_requirement_register.csv;05_verification/limit_state_register.csv,23 in-scope requirement and limit-state adoption packages,PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06;PKG-SCOPE-P1B,BLOCKS
SG-008,DS-05,Equations resistance factors and limits,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,05_verification/verification_equation_register.csv;05_verification/limit_value_register.csv,23 equations and 11 limit-value source packages plus resistance factors,PKG-R7-V;PKG-DS03;PKG-DS04;PKG-DS06,BLOCKS
SG-009,DS-05,Deemed-to-satisfy rules,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,05_verification/deemed_to_satisfy_register.csv,Two rule source and applicability packages,PKG-R7-V;PKG-DS03,BLOCKS
SG-010,DS-06,Analyzer physical I/O and machine behavior,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,06_analyzer/analyzer_blocker_register.csv,Canonical Analyzer package plus all 10 DS-06 machine evidence packages,BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010,BLOCKS
SG-011,DS-07,Approved reproducible Goldens,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,07_golden/golden_blocker_register.csv,All 8 DS-07 oracle/tolerance/approval packages,GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008,BLOCKS
SG-012,DS-08,SPACER semantic and numeric parity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,08_spacer_parity/parity_blocker_register.csv,All 8 DS-08 identity/mapping/result/tool/output packages,PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008,BLOCKS
SG-013,DS-00/DS-01,Historical relationship and evidence rights,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,00_governance/ds00_evidence_baseline.md;00_governance/copyright_and_evidence_policy.md,Historical Apollo baseline decision and receiving-organization rights confirmation,BLK-S1-007;BLK-S1-009,BLK-S1-007_BLOCKS_NUMERIC_RELEASE_AND_BLK-S1-009_BLOCKS_EVIDENCE_DISTRIBUTION
