golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-GEO-0001,geometry,alignment.bridge_length,ENT-LINE-ACL,134.001,m,134.001,m,bridge_length,"CH1-VAL-005,DWG-DIM-S001-001",GEO-001,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Bridge length on ACL; drawing 134001 mm
G-GEO-0002,geometry,alignment.span_length.1,ENT-LINE-ACL,40.201,m,40.201,m,span_length,"CH1-VAL-007,DWG-DIM-S001-003",GEO-002,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 1; drawing 40201/51000/40200 mm
G-GEO-0003,geometry,alignment.span_length.2,ENT-LINE-ACL,51.000,m,51.000,m,span_length,"CH1-VAL-008,DWG-DIM-S001-003",GEO-003,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 2; drawing 40201/51000/40200 mm
G-GEO-0004,geometry,alignment.span_length.3,ENT-LINE-ACL,40.200,m,40.200,m,span_length,"CH1-VAL-009,DWG-DIM-S001-003",GEO-004,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Span length 3; drawing 40201/51000/40200 mm
G-GEO-0005,geometry,girder_line.ag1,ENT-GIRDER-AG1,AG1,,AG1,,member_id,"DWG-MEM-AG1,STRMOD-011",GEO-006,,DWG-S021,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder line AG1 (drawing sheets 21-29)
G-GEO-0006,geometry,girder_line.ag2,ENT-GIRDER-AG2,AG2,,AG2,,member_id,"DWG-MEM-AG2,STRMOD-012",GEO-007,,DWG-S030,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder line AG2 (drawing sheets 30-38)
G-GEO-0007,geometry,girder_line.girder_spacing,ENT-LINE-ACL,4500,mm,4.5,m,girder_spacing,"DWG-DIM-S001-004,GEO-010",GEO-008,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder spacing 4500 mm (drawing)
G-GEO-0008,geometry,girder_line.girder_height,ENT-GIRDER-AG1,2700,mm,2.7,m,girder_height,"DWG-DIM-S001-005,SRC-calculation_chapter_03_section_3_2_values-010",GEO-009,,DWG-S001,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Girder height 2700 mm (drawing sheet 1; section 3.2.1 reference_girder_height)
G-GEO-0009,geometry,grid_point.1001.X,ENT-GIRDER-AG1,1.21766,m,1.21766,m,COORDINATE,CAL-TBL-P00141-001,GEO-012,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 1001 X coordinate
G-GEO-0010,geometry,grid_point.1001.Y,ENT-GIRDER-AG1,1.47689,m,1.47689,m,COORDINATE,CAL-TBL-P00141-002,GEO-013,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Panel point 1001 Y coordinate
