golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-SM-0001,structural_model,node.1001.coordinate,ENT-GIRDER-AG1,"X=1.21766 m, Y=1.47689 m",,"X=1.21766 m, Y=1.47689 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-001,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"Node 1001 coordinate (X=1.21766 m, Y=1.47689 m)"
G-SM-0002,structural_model,node.1027.coordinate,ENT-GIRDER-AG1,"X=132.76045 m, Y=1.55372 m",,"X=132.76045 m, Y=1.55372 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-027,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"Node 1027 coordinate (X=132.76045 m, Y=1.55372 m)"
G-SM-0003,structural_model,node.2001.coordinate,ENT-GIRDER-AG2,"X=1.46395 m, Y=-3.02859 m",,"X=1.46395 m, Y=-3.02859 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-028,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"Node 2001 coordinate (X=1.46395 m, Y=-3.02859 m)"
G-SM-0004,structural_model,node.2027.coordinate,ENT-GIRDER-AG2,"X=132.55077 m, Y=-2.94155 m",,"X=132.55077 m, Y=-2.94155 m",,COORDINATE,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",SM-054,calc_pdf_p141,,CALCULATION,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,"Node 2027 coordinate (X=132.55077 m, Y=-2.94155 m)"
G-SM-0005,structural_model,member.AG1,ENT-GIRDER-AG1,AG1,,AG1,,member_id,"DWG-MEM-AG1,MEMID-001",SM-055,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder AG1
G-SM-0006,structural_model,member.AG2,ENT-GIRDER-AG2,AG2,,AG2,,member_id,"DWG-MEM-AG2,MEMID-002",SM-056,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Main girder AG2
G-SM-0007,structural_model,member.GE1,ENT-XBEAM-GE1,GE1,,GE1,,member_id,"DWG-MEM-GE1,MEMID-003",SM-057,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,End cross beam GE1
G-SM-0008,structural_model,member.GE2,ENT-XBEAM-GE2,GE2,,GE2,,member_id,"DWG-MEM-GE2,MEMID-004",SM-058,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,End cross beam GE2
G-SM-0009,structural_model,member.C1-C7,ENT-XBEAM-C1C7,C1-C7,,C1-C7,,member_id,"DWG-MEM-C1C7,MEMID-009",SM-059,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C1-C7
G-SM-0010,structural_model,member.C8-C13,ENT-XBEAM-C8C13,C8-C13,,C8-C13,,member_id,"DWG-MEM-C8C13,MEMID-010",SM-060,,DWG-S011,DRAWING,HIGH,UNVERIFIED,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Intermediate cross beams C8-C13
