relative_path,sha256,size_bytes,kind,git_status
01_launch.png,fcaa00557e9fcd3bc8863fe5c1040022831ac9675d8a4a5c9abfc806013503ec,99010,png,excluded_raw
02_entry_click.png,fcaa00557e9fcd3bc8863fe5c1040022831ac9675d8a4a5c9abfc806013503ec,99010,png,excluded_raw
02b_window.png,3426b699672ec06480dd5e98fa007201497a518bb8dccd3f40ba5b66717cc981,93394,png,excluded_raw
03_intro.png,0cacd5105eb3bd1815cb44a6ccbb9d321ffeeb3f51ba4cc0e69a3a322a747a1b,102431,png,excluded_raw
04_back_to_mode_selection.png,0cacd5105eb3bd1815cb44a6ccbb9d321ffeeb3f51ba4cc0e69a3a322a747a1b,102431,png,excluded_raw
04_back_to_mode_selection.xwd,98c80edda8e20948a1597874698eb5bed6375235ba24a5326cf66ab4edfc3427,4201579,xwd,excluded_raw
05_intro_bottom.png,5111bf81def81bb5da2a291278e09893d56b01779ce8397f6aba8960a785c907,83303,png,excluded_raw
06_pro_main.png,fed1571ef6b05d91fedd146465eefeaebe7a6f8e893377254f01c4f734f4084a,70868,png,excluded_raw
07_pro_top.png,6e5cfd1e5764ceb18e11d135ea923dc3e32927246149156915eb8a392c51991e,74271,png,excluded_raw
08_pro_header.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
09_initialize_click.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
10_apollo_entry.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
10b_apollo_entry_retry.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
12_apollo_keyboard.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
13_back_click.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,png,excluded_raw
14_initialize_confirm.png,70bedab910c4c0a79e14aee2798f2ed60e41faa0a2b91e9ddd1958107aa40ef2,5287,png,excluded_raw
15_apollo_main.png,1d21c26da1bd895342c16f0ea079ba966a1356dbea23539d3b58500533a3de92,175209,png,excluded_raw
16_sample_picker.png,0440000da402415c00670fa0fd02513dd1502812e4ea00053f0316992916014a,160274,png,excluded_raw
17_sample_loaded.png,fecece95cd4c10333e4d11e3e2e9213ded655760177868052ece72af6c0cfe24,148257,png,canonical_git_copy
18_list_edit.png,559ddcd9354d64111e3fa8b6ba3c9860eb5c7f9bd26453ee7737d00642ea1174,200996,png,excluded_raw
19_english_input.png,e1e3cbcd5c2def40e782b3ec98aeeb5e5a9ff37f9d42b724ef7d55f0f94a4ee7,199930,png,excluded_raw
20_english_input_active.png,e1e3cbcd5c2def40e782b3ec98aeeb5e5a9ff37f9d42b724ef7d55f0f94a4ee7,199930,png,excluded_raw
21_undo.png,7e64b5bccaaea99e3f1f3dc53c9a44099bbf97351b9d3dc5796a2556c762f0b6,201869,png,excluded_raw
22_backspace_input.png,3b0928ce0e64bb02f0d11e42f55dad6573120c821c86724d18c261541162f647,201561,png,excluded_raw
23_english_input.png,b49fcc2b53258ad9406b761aaf36c3560f07e317361014f80e50abe55e0d38d3,201542,png,excluded_raw
24_x_input.png,b49fcc2b53258ad9406b761aaf36c3560f07e317361014f80e50abe55e0d38d3,201542,png,excluded_raw
25_english_paste.png,55a28a45fd1bff663c387e2f512f7a7a7e4b957d8103b367ad866db7590012b8,200352,png,excluded_raw
26_japanese_paste.png,360a3144f3c660890f7ee50ee80872ad32e1842bac4766823c759c801605b1ee,200295,png,excluded_raw
27_scrolled_tables.png,727f9b5d4471aed4655cbacced02617ed99fb349b70fa2fa37da66e7e6115616,90044,png,excluded_raw
28_numeric_decimal.png,bc8f71aac0a886dcf827f6738252ad40223d7ee77ae643a3cfb960b8f19002e8,176244,png,excluded_raw
29_node_and_viewer.png,efb75b7d37faac4dd3e631bd569b4727d9713c15d11b07c0d0fae160139b2053,93465,png,excluded_raw
30_numeric_enter.png,efb75b7d37faac4dd3e631bd569b4727d9713c15d11b07c0d0fae160139b2053,93465,png,excluded_raw
31_numeric_blur.png,efb75b7d37faac4dd3e631bd569b4727d9713c15d11b07c0d0fae160139b2053,93465,png,excluded_raw
32_numeric_selection_change.png,8f58f7c22528378eff615cc0f3c8a68c898ca431710c26587f5309d2d394ca45,93242,png,excluded_raw
33_maximized.png,3fbeb04eac13a182357d7bac28e06737c38dede64fe554db1007ad49a595d678,122285,png,excluded_raw
34_viewer_controls.png,98f62e248e3563d4dc50c661e2a1e695b02f1f7491298af48c6babf2c3565af6,253709,png,excluded_raw
35_viewer_full.png,470884555a812eab46354a4223a10e37ed41d1d343fdd43f1ff0f7a1895ebb21,168085,png,excluded_raw
36_view_panel_open.png,7b5c3ddb7e72e4aff6f22b80fb04cedddd30993a2202ee5634cef2565c1b9d31,180644,png,excluded_raw
