original_path,relative_path,sha256,size_bytes,selection,destination_or_retention,notes
apollo_operator_smoke_evidence/01_launch.png,01_launch.png,fcaa00557e9fcd3bc8863fe5c1040022831ac9675d8a4a5c9abfc806013503ec,99010,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/02_entry_click.png,02_entry_click.png,fcaa00557e9fcd3bc8863fe5c1040022831ac9675d8a4a5c9abfc806013503ec,99010,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/02b_window.png,02b_window.png,3426b699672ec06480dd5e98fa007201497a518bb8dccd3f40ba5b66717cc981,93394,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/03_intro.png,03_intro.png,0cacd5105eb3bd1815cb44a6ccbb9d321ffeeb3f51ba4cc0e69a3a322a747a1b,102431,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/04_back_to_mode_selection.png,04_back_to_mode_selection.png,0cacd5105eb3bd1815cb44a6ccbb9d321ffeeb3f51ba4cc0e69a3a322a747a1b,102431,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/04_back_to_mode_selection.xwd,04_back_to_mode_selection.xwd,98c80edda8e20948a1597874698eb5bed6375235ba24a5326cf66ab4edfc3427,4201579,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,XWD excluded
apollo_operator_smoke_evidence/05_intro_bottom.png,05_intro_bottom.png,5111bf81def81bb5da2a291278e09893d56b01779ce8397f6aba8960a785c907,83303,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/06_pro_main.png,06_pro_main.png,fed1571ef6b05d91fedd146465eefeaebe7a6f8e893377254f01c4f734f4084a,70868,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/07_pro_top.png,07_pro_top.png,6e5cfd1e5764ceb18e11d135ea923dc3e32927246149156915eb8a392c51991e,74271,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
apollo_operator_smoke_evidence/08_pro_header.png,08_pro_header.png,8f79efb528339649c36225f52ac13a10e9d2ef327ff04e832ebce1c81455133b,107418,RAW_EXCLUDED_FROM_GIT,local-archive/operator-evidence/apollo/,Non-representative PNG
