reference_id,category,comparison_kind,status
REF-horizontal-001,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-002,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-003,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-004,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-005,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-006,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-007,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-008,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-009,horizontal_alignment,INPUT_PARITY,PASS
REF-horizontal-010,horizontal_alignment,INPUT_PARITY,PASS
REF-station-001,station,INPUT_PARITY,PASS
REF-station-002,station,NOT_COMPARABLE,NOT_COMPARABLE
REF-station-003,station,NOT_COMPARABLE,NOT_COMPARABLE
REF-station-004,station,NOT_COMPARABLE,NOT_COMPARABLE
REF-vertical-001,vertical_profile,INPUT_PARITY,PASS
REF-vertical-002,vertical_profile,INPUT_PARITY,PASS
REF-vertical-003,vertical_profile,INPUT_PARITY,PASS
REF-vertical-004,vertical_profile,INPUT_PARITY,PASS
REF-vertical-005,vertical_profile,INPUT_PARITY,PASS
REF-vertical-006,vertical_profile,INPUT_PARITY,PASS
REF-vertical-007,vertical_profile,INPUT_PARITY,PASS
REF-vertical-008,vertical_profile,INPUT_PARITY,PASS
REF-crossfall-001,crossfall,INPUT_PARITY,PASS
REF-crossfall-002,crossfall,INPUT_PARITY,PASS
REF-crossfall-003,crossfall,INPUT_PARITY,PASS
REF-section_height-001,section_height,NOT_COMPARABLE,NOT_COMPARABLE
REF-section_height-002,section_height,NOT_COMPARABLE,NOT_COMPARABLE
REF-section_height-003,section_height,NOT_COMPARABLE,NOT_COMPARABLE
