note_id,pdf_page_number,printed_page_number,chapter_id,section_id,note_kind,note_summary,semantic_class,source_locator,confidence
CH5-NOTE-001,2028,2023,CH5,CAL-SEC-5.1.1,design_note,回転角は実回転角とする。斜角は各桁の最大角を考慮する。,rotation_note,chapter_05/notes.csv,HIGH
CH5-NOTE-002,2028,2023,CH5,CAL-SEC-5.1.1,design_note,Δt:水平力算出用(±30℃) Δt':支承照査用(±50℃) 正数値は伸長側、負数値は収縮側。,temperature_displacement_note,chapter_05/notes.csv,HIGH
CH5-NOTE-003,2031,2026,CH5,CAL-SEC-5.1.1,design_note,Rmax1:D+L+I+TF(+)の最大値 Rmax2:D+L(+)+I+TF(±)の最小値,Rmax_definition,chapter_05/notes.csv,HIGH
CH5-NOTE-004,2031,2026,CH5,CAL-SEC-5.1.1,legend,b:橋軸直角方向有効寸法 a:橋軸方向有効寸法 te:弾性ゴム一層厚 n:積層数 Σte:総厚 Ge:せん断弾性係数 φd:鉛プラグ径 NP:鉛プラグ本数 ts:補強材板厚,bearing_parameters_legend,chapter_05/notes.csv,HIGH
CH5-NOTE-005,2032,2027,CH5,CAL-SEC-5.1.1,design_note,S2は4程度以上を確保するものとする。,shape_factor_2_note,chapter_05/notes.csv,HIGH
CH5-NOTE-006,2035,2030,CH5,CAL-SEC-5.1.1,design_note,正数値は右方向、負数値は左方向を示す。支承照査移動量はΔLの絶対値の大きい値とする。,displacement_direction_note,chapter_05/notes.csv,HIGH
CH5-NOTE-007,2038,2033,CH5,CAL-SEC-5.1.1,design_note,上部工水平力は静的解析で算出した数値,horizontal_force_note,chapter_05/notes.csv,HIGH
CH5-NOTE-008,2138,2133,CH5,CAL-SEC-5.1.3,design_note,RHeq1:Σte×2.5×KB RHeq2:動的解析値,seismic_force_note,chapter_05/notes.csv,HIGH
CH5-NOTE-009,2138,2133,CH5,CAL-SEC-5.1.3,design_note,ΔLe1,ΔLe2:動的解析値,seismic_displacement_note,chapter_05/notes.csv,HIGH
CH5-NOTE-010,2139,2134,CH5,CAL-SEC-5.1.3,design_note,直角方向の水平力はサイドブロックにより拘束される為ゼロとする。,side_block_note,chapter_05/notes.csv,HIGH
CH5-NOTE-011,2167,2162,CH5,CAL-SEC-5.1.4,design_note,レベル2地震動の水平力・変位量は250%変形時の数値。上向き力は主桁部の支承で負担する。,horizontal_bearing_note,chapter_05/notes.csv,HIGH
CH5-NOTE-012,2191,2186,CH5,CAL-SEC-5.2.2,design_note,設計荷重は死荷重反力(荷重係数γq考慮)を10kN切り上げで丸める。,design_load_note,chapter_05/notes.csv,HIGH
CH5-NOTE-013,2193,2188,CH5,CAL-SEC-5.2.5,design_note,Rib高hは最大高のS2-AG1で代表,Rib_height_note,chapter_05/notes.csv,HIGH
CH5-NOTE-014,2195,2190,CH5,CAL-SEC-5.2.5,design_note,Rib高hは最小高のS2-AG2で代表,Rib_height_min_note,chapter_05/notes.csv,HIGH
CH5-NOTE-015,2199,2194,CH5,CAL-SEC-5.3,reference,愛知県「橋梁設計の手引き 第6章」より,drainage_reference,chapter_05/notes.csv,HIGH
CH5-NOTE-016,2205,2200,CH5,CAL-SEC-5.3,reference,排水管確認は「愛知県 橋梁設計の手引き」より,drain_pipe_reference,chapter_05/notes.csv,HIGH
CH5-NOTE-017,2207,2202,CH5,CAL-SEC-5.4.1,design_note,伸縮装置算出式は日本道路協会「道路橋示方書」による。,expansion_joint_note,chapter_05/notes.csv,HIGH
CH5-NOTE-018,2210,2205,CH5,CAL-SEC-5.4.1,design_note,マウラースイベル・ジョイント ES-480型（最大設計伸縮量480mm）を使用する。,mauer_joint_note,chapter_05/notes.csv,HIGH
CH5-NOTE-019,2217,2212,CH5,CAL-SEC-5.4.1,design_note,ミドルビーム支持条件として4径間連続梁と考え曲げモーメント求める。,continuous_beam_note,chapter_05/notes.csv,HIGH
CH5-NOTE-020,2224,2219,CH5,CAL-SEC-5.4.2,design_note,フェイスプレート厚80mmで10mm以上の摩耗代が確保されている。,wear_allowance_note,chapter_05/notes.csv,HIGH
CH5-NOTE-021,2225,2220,CH5,CAL-SEC-5.4.2,design_note,孔あき鋼板ジベル計算式は「複合構造標準示方書」(2014年,土木学会)による。,perforated_plate_note,chapter_05/notes.csv,HIGH
CH5-NOTE-022,2226,2221,CH5,CAL-SEC-5.4.2,design_note,貫通鉄筋を配置するものとする。,through_rebar_note,chapter_05/notes.csv,HIGH
