value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH5-VAL-001,2027,2022,CH5,CAL-SEC-5.1,適用示方書,道路橋示方書 平成29年11月版,,道路橋示方書 平成29年11月版,,applicable_code,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-002,2027,2022,CH5,CAL-SEC-5.1,適用便覧,道路橋支承便覧 平成30年12月版,,道路橋支承便覧 平成30年12月版,,applicable_manual,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-003,2027,2022,CH5,CAL-SEC-5.1,橋梁形式,鋼3径間連続少数鈑桁橋,,鋼3径間連続少数鈑桁橋,,bridge_type,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-004,2027,2022,CH5,CAL-SEC-5.1,設計方針(弾性固定支承),E,,"E",,bearing_type,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-005,2027,2022,CH5,CAL-SEC-5.1,拘束方法,サイドブロックにて拘束,,サイドブロック,,restraint_method,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-006,2028,2023,CH5,CAL-SEC-5.1.1,地盤種別,Ⅰ種地盤,,Ⅰ種地盤,,ground_type,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-007,2028,2023,CH5,CAL-SEC-5.1.1,地域区分,A1,,A1,,zone_class,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-008,2028,2023,CH5,CAL-SEC-5.1.1,Cz,1.00,,1.00,,zone_coefficient,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-009,2028,2023,CH5,CAL-SEC-5.1.1,CzⅠ,1.20,,1.20,,zone_coefficient_type1,,chapter_05/values.csv,HIGH,UNVERIFIED
CH5-VAL-010,2028,2023,CH5,CAL-SEC-5.1.1,CzⅡ,1.00,,1.00,,zone_coefficient_type2,,chapter_05/values.csv,HIGH,UNVERIFIED
