value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH1-VAL-001,7,2,CH1,CAL-SEC-1.1,道路規格,A規格,,A規格,,road_spec,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-002,7,2,CH1,CAL-SEC-1.1,設計速度,40,km/h,40,km/h,design_speed,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-003,7,2,CH1,CAL-SEC-1.1,活荷重,B活荷重,,B活荷重,,live_load,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-004,7,2,CH1,CAL-SEC-1.1,橋梁形式,鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保),,鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保),,bridge_type,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-005,7,2,CH1,CAL-SEC-1.1,橋長,134.001,m,134.001,m,bridge_length,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-006,7,2,CH1,CAL-SEC-1.1,桁長,133.151,m,133.151,m,girder_length,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-007,7,2,CH1,CAL-SEC-1.1,支間長1,40.201,m,40.201,m,span_length,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-008,7,2,CH1,CAL-SEC-1.1,支間長2,51.000,m,51.000,m,span_length,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-009,7,2,CH1,CAL-SEC-1.1,支間長3,40.200,m,40.200,m,span_length,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-010,7,2,CH1,CAL-SEC-1.1,総幅員,8.010,m,8.010,m,total_width,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-011,7,2,CH1,CAL-SEC-1.1,有効幅員,7.000,m,7.000,m,effective_width,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-012,7,2,CH1,CAL-SEC-1.1,斜角_PU15,94°14′27″,degree,94.241,degree,skew_angle,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-013,7,2,CH1,CAL-SEC-1.1,斜角_PR1_PR2_A2,90°00′00″,degree,90.000,degree,skew_angle,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-014,7,2,CH1,CAL-SEC-1.1,平面線形_R1,160,m,160,m,curve_radius,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-015,7,2,CH1,CAL-SEC-1.1,平面線形_R2,3000,m,3000,m,curve_radius,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-016,7,2,CH1,CAL-SEC-1.1,縦断勾配_i1,6.000,%,6.000,%,longitudinal_gradient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-017,7,2,CH1,CAL-SEC-1.1,縦断勾配_i2,0.100,%,0.100,%,longitudinal_gradient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-018,7,2,CH1,CAL-SEC-1.1,横断勾配_i1,5.000,%,5.000,%,cross_gradient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-019,7,2,CH1,CAL-SEC-1.1,横断勾配_i2,2.000,%,2.000,%,cross_gradient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-020,7,2,CH1,CAL-SEC-1.1,横断勾配_i3,2.958,%,2.958,%,cross_gradient,,chapter_01/values.csv,HIGH,UNVERIFIED
CH1-VAL-021,7,2,CH1,CAL-SEC-1.1,舗装厚,80,mm,80,mm,pavement_thickness,,chapter_01/values.csv,HIGH,UNVERIFIED
