element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
CH1-PE-001,6,1,CH1,CAL-SEC-ch1,chapter_title,第1章 設計条件,calc_pdf_p6,EXTRACTION_COMPLETE,HIGH,Chapter 1 heading
CH1-PE-002,7,2,CH1,CAL-SEC-1.1,section_title,1.1 設計条件,calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,Section 1.1 design conditions heading
CH1-PE-003,7,2,CH1,CAL-SEC-1.1,design_condition,道路規格: A規格,calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-004,7,2,CH1,CAL-SEC-1.1,design_condition,設計速度: V=40km/h,calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-005,7,2,CH1,CAL-SEC-1.1,design_condition,活荷重: B活荷重,calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-006,7,2,CH1,CAL-SEC-1.1,design_condition,"橋梁形式: 鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保)",calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-007,7,2,CH1,CAL-SEC-1.1,design_condition,橋長: 134.001m (ACL上),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-008,7,2,CH1,CAL-SEC-1.1,design_condition,桁長: 133.151m (ACL上),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-009,7,2,CH1,CAL-SEC-1.1,design_condition,支間長: 40.201m + 51.000m + 40.200m (ACL上),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-010,7,2,CH1,CAL-SEC-1.1,design_condition,総幅員: 8.010m,calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-011,7,2,CH1,CAL-SEC-1.1,design_condition,有効幅員: 7.000m (車道幅),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-012,7,2,CH1,CAL-SEC-1.1,design_condition,"斜角: PU15:ACLに θ=94°14′27″ , PR1,PR2,A2:ACLに θ=90°00′00″",calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-013,7,2,CH1,CAL-SEC-1.1,design_condition,平面線形: 起点側から R=160m(終点側に左まわり)～R=3000(終点側に右まわり),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-014,7,2,CH1,CAL-SEC-1.1,design_condition,縦断勾配: i=6.000%(起点下がり) VCL=100 i=0.100%(終点下がり),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
CH1-PE-015,7,2,CH1,CAL-SEC-1.1,design_condition,横断勾配: 起点側から i=5.000%(左下がり)～i=2.000%(右下がり)～i=2.958%(右下がり),calc_pdf_p7,EXTRACTION_COMPLETE,HIGH,
