entity_id,report_concept,domain_source_path,domain_symbol,classification,value_type,nullable,unit,unit_required,source_required,authorization_required,validation_required,summary_detail_shared,missing_data_behavior,legacy_behavior,phase4_impl,basis
E-PRJ-ID,ProjectIdentity,project.project.id,project.project.id,input,string,NO,none,NO,NO,NOT_GRANTED,NO,shared,n/a,n/a,yes,reportModel.ts:163
E-PRJ-NAME,ProjectSummary,project.project.name,project.project.name,input,string,NO,none,NO,NO,NOT_GRANTED,NO,shared,n/a,n/a,yes,reportModel.ts:164
E-PRJ-NUMBER,ProjectSummary,project.project.number,project.project.number,input,string,YES,none,NO,NO,NOT_GRANTED,NO,shared,NOT_IMPLEMENTED if absent,n/a,yes,reportModel.ts:164 + 08 R-02
E-DESIGNER,ProjectSummary,(no field),designerName,-,NO_VALUE,NO,n/a,NO,NO,NOT_GRANTED,NO,shared,NOT_IMPLEMENTED,n/a,yes,O-18
E-CREATED,ProjectSummary,project.project.createdAt,project.project.createdAt,input,iso8601,NO,none,NO,NO,NOT_GRANTED,NO,shared,n/a,n/a,yes,reportModel.ts:164
E-REPORT-META,ReportMetadata,(scaffold),REPORT_MODEL_SCHEMA_VERSION..mode,contract_struct,object,NO,mixed,NO,NO,fixed,NOT_GRANTED,NO,shared,n/a,n/a,reportModel.ts:18-83
E-BRIDGE-SYSTEM,BridgeSummary,draft.bridgeSystem,BridgeSystem.CONTINUOUS,input,enum,NO,none,NO,YES,UNVERIFIED->NOT_AUTHORIZED,YES,shared,n/a,n/a,yes,reportModel.ts:175
E-SPAN-SYSTEM,BridgeSummary,apolloBsdd.phase1ScopeAssertion.spanSystem,spanSystem,stored,string,NO,none,NO,YES,UNVERIFIED->NOT_AUTHORIZED,YES,shared,n/a,n/a,yes,generateBsdd.ts:467
E-BRIDGE-LENGTH,BridgeSummary,draft.bridgeLength,draft.bridgeLength,input,number,YES,m,YES,YES,UNVERIFIED->NOT_AUTHORIZED,NO,shared,NOT_AVAILABLE if null/STALE,n/a,yes,reportModel.ts:184(CP-05)
E-WIDTH,BridgeSummary,draft.width,draft.width,input,number,YES,m,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,NOT_AVAILABLE if legacy,yes,reportModel.ts:185(CP-05)
E-GIRDER-COUNT,BridgeSummary,draft.girderCount,draft.girderCount,input,number,YES,count,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,NOT_AVAILABLE if legacy,yes,reportModel.ts:186(CP-05)
E-GIRDER-DEPTH,BridgeSummary,draft.girderDepth,draft.girderDepth,input,number,YES,m,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,NOT_AVAILABLE if legacy,yes,reportModel.ts:188(CP-05)
E-SPAN-COUNT,BridgeSummary,draft.spans.length,spans.length,generated_geometry,number,NO,count,NO,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,reportModel.ts:184(CP-07)
E-SUPPORT-COUNT,BridgeSummary,draft.supports.length,supports.length,generated_geometry,number,NO,count,NO,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,reportModel.ts:184(CP-07)
E-SPAN-LENGTH,SpanSummary,draft.spanLength,draft.spanLength,input,number,YES,m,YES,YES,NOT_AVAILABLE if CONTINUOUS,NO,detail-only,NOT_AVAILABLE for CONTINUOUS (null),NOT_AVAILABLE if legacy,yes,reportModel.ts:119;U-03;CP-07
E-SPAN-LENGTHS,SpanSummary,draft.spans[].length,spans[].length,input,number_array,NO,m,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,layoutValidation.ts:234-251(CP-07);sectionProperties.ts:107(volume)
E-SPANS,SpanSummary,draft.spans,BridgeLayoutSpan[],generated_geometry,array,NO,none,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,layoutValidation.ts:234-251(CP-07)
E-SUPPORT-STATION,SupportSummary,draft.supports[].station,supports[].station,input,number_array,NO,m,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,reportModel.ts:184(CP-10)
E-SUPPORT-ROLE,SupportSummary,draft.supports[].role,supports[].role,input,enum_array,NO,none,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,generateBsdd.ts:116-124(CP-10)
E-SUPPORTS,SupportSummary,draft.supports,BridgeLayoutSupport[],generated_geometry,array,NO,none,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,layoutValidation.ts:234-251(CP-10)
E-SUPPORT-FIXITY,SupportSummary,draft.supports[].fixity,supports[].fixity,input,enum,NO,none,YES,YES,UNVERIFIED,YES,detail-only,n/a,n/a,yes,layoutValidation.ts:234-251(CP-10)
E-GIRDER-LAYOUT,GirderSummary,apolloBsdd.structuralDesignModel.mainGirders,SDM mainGirders,generated_geometry,array,NO,none,YES,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,bridgeStructureSolids.ts(CP-09);generateBsdd.ts
E-CROSS-BEAM-SPACING,CrossMemberSummary,draft.crossBeamSpacing,draft.crossBeamSpacing,input,number,NO,m,YES,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,reportModel.ts:109/110(CP-11)
E-CROSS-BEAM-STATIONS,CrossMemberSummary,apolloBsdd.structuralDesignModel.crossBeams,SDM crossBeams,generated_geometry,number_array,NO,m,YES,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,bridgeStructureSolids.ts(CP-11)
E-SWAY-BRACE,CrossMemberSummary,apolloBsdd.structuralDesignModel.swayBracings,SDM swayBracings,generated_geometry,number,YES,count,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,n/a,yes,generateBsdd.ts(CP-17)
E-LATURAL-BRACE,CrossMemberSummary,apolloBsdd.structuralDesignModel.lateralBracings,SDM lateralBracings,generated_geometry,number,YES,count,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,n/a,yes,generateBsdd.ts(CP-17)
E-STIFFENER,CrossMemberSummary,apolloBsdd.structuralDesignModel.stiffeners,SDM stiffeners,generated_geometry,number,YES,count,YES,YES,UNVERIFIED,YES,shared,NOT_AVAILABLE,n/a,yes,generateBsdd.ts(CP-17)
E-SECTION-INPUTS,SectionInputSummary,draft.topFlangeWidth|...|deckThickness,draft.* section inputs,input,object,YES,pseudo,m,YES,YES,NOT_AVAILABLE if CONTINUOUS,NOT_AVAILABLE for CONTINUOUS,yes,reportModel.ts:119-148/206-216(CP-13)
E-SECTION-PROPS,SectionInputSummary,computeGirderSectionProperties(sectionProperties.ts:48-108),GirderSectionProperties,analysis_result,object,YES,m/m2/m3/m4,YES,YES,UNVERIFIED(CONTINUOUS NOT_AVAILABLE),NO,shared,NOT_AVAILABLE for CONTINUOUS (spanLength gate; U-03 verdict B),NOT_AVAILABLE if legacy,yes,reportModel.ts:206-216(CP-13);sectionProperties.ts:107(volume uses bridgeLength)
E-STEEL-UNIT-WEIGHT,MaterialInputSummary,draft.steelUnitWeight,draft.steelUnitWeight,input,number,YES,kN/m3,YES,YES,USER_PROVIDED_UNVERIFIED|UNKNOWN,YES,shared,NOT_AVAILABLE if null,UNKNOWN if legacy,yes,reportModel.ts:199(CP-12);generateBsdd.ts:446-449
E-RC-UNIT-WEIGHT,MaterialInputSummary,draft.rcUnitWeight,draft.rcUnitWeight,input,number,YES,kN/m3,YES,YES,USER_PROVIDED_UNVERIFIED|UNKNOWN,YES,shared,NOT_AVAILABLE if null,UNKNOWN if legacy,yes,reportModel.ts:200(CP-12)
E-MAT-ADOPTION,AuthorizationSummary,getBridgeStructureUnitWeightAdoption(adoption.ts:70),adoptionStatus,stored,enum,NO,none,NO,YES,NOT_AUTHORIZED,YES,shared,n/a,n/a,yes,getBridgeStructureUnitWeightAdoption(CP-12);BridgeStructureInputPanel.tsx:256
E-LOAD-COUNT,LoadInputSummary,project.loadCases.length,loadCases.length,input,number,NO,count,YES,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,reportModel.ts:223(CP-14)
E-LOADS-DETAIL,LoadInputSummary,(not exposed),(load case details),design_check,NO_VALUE,NO,n/a,NO,NO,NOT_AUTHORIZED,NO,detail-only,PROHIBITED,NOT_AUTHORIZED,yes,reportModel.ts:222(CP-14)
E-SOLIDS,GeometrySummary,buildApolloVisualizationModelOrThrow(builder.ts:1026),solidGeometryParameters,geometry,object,NO,none,YES,YES,UNVERIFIED->NOT_AUTHORIZED,YES,shared,NOT_AVAILABLE if no solids/STALE,NOT_AVAILABLE if legacy,yes,apolloStlExport.ts(CP-18);bridgeStructureSolids.ts
E-STL-MANIFEST,GeometrySummary,exportApolloBinaryStl(apolloStlExport.ts:95),STL manifest,geometry,object,NO,none,YES,YES,UNVERIFIED->NOT_AUTHORIZED,YES,shared,NOT_AVAILABLE if not exported,NOT_AVAILABLE if legacy,yes,apolloStlExport.ts(CP-18)
E-VALIDATION,ValidationSummary,validateBridgeStructureInputDraft(validation.ts:140)+validateBridgeLayoutContract(layoutValidation.ts),diagnostics,validation,array,NO,none,YES,YES,UNVERIFIED,YES,shared,n/a,n/a,yes,validation.ts + layoutValidation.ts(CP-19)
E-STALE,Persistance/state,isBridgeStructureGenerationCurrent(generateBsdd.ts:558-561),stale flag,state,boolean,NO,none,NO,YES,NOT_GRANTED,NO,shared,n/a,n/a,yes,generateBsdd.ts:558-561(CP-21)
E-INPUT-REVISION,EvidenceSummary,draft.generatedAt,draft.generatedAt,stored,iso8601,NO,none,NO,YES,NOT_GRANTED,NO,detail-only,STALE_OR_UNGENERATED if null,LEGACY_DATA if no date,yes,reportModel.ts:116(CP-25)
E-INPUT-CHECKSUM,EvidenceSummary,buildInputChecksum,content checksum,stored,string,NO,none,NO,YES,NOT_GRANTED,YES,detail-only,n/a,NOT_AVAILABLE if legacy,yes,computeContentChecksum(CP-25);generateBsdd.ts
E-RESULT-CHECKSUM,EvidenceSummary,computeContentChecksum(reportModel.ts:321-322),result checksum,stored,string,NO,none,NO,YES,NOT_GRANTED,YES,detail-only,n/a,n/a,yes,reportModel.ts:321-322(CP-25)
E-QUANTITY-CHECKSUM,EvidenceSummary,buildQuantityModel(quantityModel.ts:632),quantity checksum,stored,string,NO,none,NO,YES,NOT_GRANTED,NO,detail-only,n/a,n/a,yes,quantityModel.ts + reportModel.ts:302(CP-25)
E-APP-COMMIT,EvidenceSummary,options.appCommitSha,appCommitSha,stored,string,YES,none,NO,NO,NOT_GRANTED,NO,detail-only,NOT_CAPTURED_IN_BROWSER,NOT_AVAILABLE if legacy,yes,reportModel.ts:306/342(CP-25)
E-SCHEMA-VERSIONS,AuditMetadata,REPORT_MODEL_SCHEMA_VERSION;quantity.schemaVersion;apolloBsdd.schemaVersion,schemaVersions,stored,array,NO,none,NO,YES,NOT_GRANTED,YES,shared,n/a,UNKNOWN if legacy missing,yes,reportModel.ts:18/343 + generateBsdd.ts(CP-03)
E-CALC-REFS,EvidenceSummary,reportModel.ts:344,calculationReferenceIds,stored,array,NO,none,NO,NO,NOT_GRANTED,NO,detail-only,n/a,n/a,yes,reportModel.ts:344(CP-25)
E-DIGITAL-WATERMARK,WarningSummary,reportModel.ts:150-156,warnings[],message,array,NO,none,NO,NO,NOT_GRANTED,YES,shared,always emit list,always emit,yes,reportModel.ts:150-156(CP-20)
E-HUMAN-ITEMS,WarningSummary,H-01..H-03 (resolved in Phase 2.5),humanConfirmationItems,state,enum_array,NO,none,NO,NO,NOT_AUTHORIZED,NO,shared,RESOLVED list,UNRESOLVED->RESOLVED,yes,08_report_data_contract_boundary.md R-11(CP-20)
