candidate_id,rule_id,title,status,priority,spec_group,evidence,source,conflict_status
CAND-01,RO-001;RO-002,道路区分決定,READY_FOR_X2,P0,P00,道路区分表(第1種〜第4種),DOC-X0-0145 printed138-139,NON_BLOCKING
CAND-02,RO-003,設計速度決定,READY_FOR_X2,P0,P00,設計速度表(第13条),DOC-X0-0145 printed161,NON_BLOCKING
CAND-03,RO-004,設計車両諸元,READY_FOR_X2,P0,P01,設計車両諸元表(第4条),DOC-X0-0145 printed173,NON_BLOCKING
CAND-04,RO-005;RO-006;RO-007,車線幅員決定,READY_FOR_X2,P0,P01,車線幅員表(第5条),DOC-X0-0145 printed208-209,NON_BLOCKING
CAND-05,RO-008;RO-009,中央帯幅員決定,READY_FOR_X2,P0,P01,中央帯幅員表(第6条),DOC-X0-0145 printed210-211,NON_BLOCKING
CAND-06,RO-010,路肩幅員決定,READY_FOR_X2,P0,P01,路肩幅員表(第13条),DOC-X0-0145 printed228-229,NON_BLOCKING
CAND-07,RO-011〜RO-015,最小曲線半径照査,READY_FOR_X2,P0,P00,"最小曲線半径表(第15条,表3-5/3-6)",DOC-X0-0145 printed348-349,NON_BLOCKING
CAND-09,RO-017;RO-018;LIN-001;LIN-002,緩和区間・クロソイド設定,READY_FOR_X2,P0,P00,緩和区間(第18条)・クロソイドA,"DOC-X0-0145 printed383, DOC-X0-0035 p39",NON_BLOCKING
CAND-10,RO-019;RO-020;RO-021,片勾配設定,READY_FOR_X2,P0,P00,最大片勾配表(第16条),DOC-X0-0145 printed358-359,NON_BLOCKING
CAND-12,RO-025;RO-026,視距照査,READY_FOR_X2,P0,P00,視距表(第19条),DOC-X0-0145 printed413,NON_BLOCKING
CAND-13,RO-027,縦断勾配照査,READY_FOR_X2,P0,P00,縦断勾配表(第20条),DOC-X0-0145 printed424-425,NON_BLOCKING
CAND-14,RO-028;RO-029;RO-030,縦断曲線設定,READY_FOR_X2,P0,P00,縦断曲線半径表(第22条),DOC-X0-0145 printed452-453,NON_BLOCKING
CAND-15,RO-031;RO-032;RO-033,横断勾配設定,READY_FOR_X2,P0,P00,"横断勾配表(第24条,表3-51)",DOC-X0-0145 printed466-467,NON_BLOCKING
CAND-16,RO-025;RO-026,視距照査の警告出力,READY_FOR_X2,P0,P01,視距表(第19条),DOC-X0-0145 printed413,NON_BLOCKING
CAND-17,LIN-006;LIN-007;PR-005,格点間距離・張り出し長,READY_FOR_X2,P1,P01,格点間距離(5.8.2)・張り出し長(5.8.3),DOC-X0-0035 p123-124,NON_BLOCKING
CAND-18,PR-002,ブレーキ測点補正,READY_FOR_X2,P1,P01,ブレーキ測点→新測点,DOC-X0-0143 p1740-1745,NON_BLOCKING
CAND-19,LIN-008,座標変換,READY_FOR_X2,P1,P01,座標変換(TRAN),DOC-X0-0035 p115,NON_BLOCKING
CAND-20,RO-034;RO-035,例外ルール管理,READY_FOR_X2,P2,P01,緩和区間省略・最小曲線半径縮小,"DOC-X0-0145 p383,347-348",NON_BLOCKING
CAND-08,RO-016,最小曲線長照査,NEEDS_RESEARCH,P0,-,最小曲線長(2秒走行距離),数値表未取得,NON_BLOCKING
CAND-11,RO-022;RO-023;RO-024,曲線部拡幅量,NEEDS_RESEARCH,P0,-,拡幅量算定式,DOC-X0-0145 p372-373（OCR不明瞭）,NON_BLOCKING
CAND-21,RO-025,建築限界,BLOCKED,P1,-,建築限界(道示),DOC-X0-0066（ページ要OCR）,BLOCKING
