rule_id,rule_title,spec_complete,evidence_complete,api_complete,test_complete,liner_mapping_complete,road_bridge_mapping_complete,dependency_clear,x3_readiness,reason
X2-R-001,道路区分決定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-002,設計速度決定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-003,設計車両諸元,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-004,車線幅員決定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-005,中央帯幅員決定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-006,路肩幅員決定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-007,最小曲線半径照査,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-008,緩和区間・クロソイド,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-009,片勾配設定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-010,視距照査,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,V=30値要確認(UR-006)
X2-R-011,縦断勾配照査,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-012,縦断曲線設定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-013,横断勾配設定,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-014,視距照査警告出力,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-015,格点間距離・張り出し長,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-016,ブレーキ測点補正,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-017,座標変換,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
X2-R-018,例外ルール管理,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,全条件満たす
